gene,n_cells,cells,direction,theme,pathway
UBA52,3,"Micro-PVM,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
UPF3A,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
CUL1,8,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM,OPC,VLMC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
HNRNPU,8,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM,OPC,VLMC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
PTGES3,8,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM,OPC,VLMC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
XPO1,8,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM,OPC,VLMC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
HNRNPA3,7,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,OPC,VLMC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
HPRT1,7,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
PGK1,7,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
ABCE1,6,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
CCT3,6,"L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
CCT4,6,"L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
CLNS1A,6,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
EIF2S2,6,"Chandelier,L2_3 IT,L4 IT,L6b,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
G3BP1,6,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM",up,growth_stress,HALLMARK_MYC_TARGETS_V1
GLO1,6,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
GSPT1,6,"L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
PABPC1,6,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
RPS2,6,"Chandelier,L2_3 IT,L4 IT,L6 IT,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
CCT5,5,"L2_3 IT,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
CNBP,5,"L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM",up,growth_stress,HALLMARK_MYC_TARGETS_V1
EIF1AX,5,"L2_3 IT,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
EIF3J,5,"L2_3 IT,L4 IT,L6 IT,L6b,Micro-PVM",up,growth_stress,HALLMARK_MYC_TARGETS_V1
EIF4H,5,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
HDGF,5,"L2_3 IT,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
HSP90AB1,5,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
HSPD1,5,"L2_3 IT,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
NCBP1,5,"Chandelier,L2_3 IT,L4 IT,L6b,Micro-PVM",up,growth_stress,HALLMARK_MYC_TARGETS_V1
PCBP1,5,"L2_3 IT,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
PSMA1,5,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
PSMB2,5,"Chandelier,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SRPK1,5,"L2_3 IT,L4 IT,L6 IT,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
TCP1,5,"L2_3 IT,L4 IT,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
TRA2B,5,"Chandelier,L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
AP3S1,4,"L2_3 IT,L4 IT,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
BUB3,4,"Chandelier,L6 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
CANX,4,"L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
CBX3,4,"L2_3 IT,L4 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
CCT2,4,"L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
HDAC2,4,"Chandelier,L2_3 IT,L4 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
HNRNPA2B1,4,"L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
HNRNPC,4,"Chandelier,L4 IT,L6b,VLMC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
HNRNPR,4,"Chandelier,L2_3 IT,L4 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
LDHA,4,"L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
PA2G4,4,"Chandelier,L4 IT,L6 IT,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
POLD2,4,"Chandelier,L2_3 IT,L6 IT,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
PPIA,4,"L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
PRPS2,4,"Chandelier,L2_3 IT,L4 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
RSL1D1,4,"L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
RUVBL2,4,"L2_3 IT,L4 IT,L6 IT,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SET,4,"Chandelier,L2_3 IT,L4 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SNRPB2,4,"Chandelier,L2_3 IT,L4 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SRSF3,4,"Chandelier,L2_3 IT,L4 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SSB,4,"Chandelier,L4 IT,L6b,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SYNCRIP,4,"Chandelier,L4 IT,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
