cell_type,pathway,NES,padj,gene
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,EIF3E
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPL6
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,EIF3B
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,EIF3M
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,NARS2
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,EIF5
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,EIF2S2
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPS11
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPS7
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,SRPRA
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPLP2
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,EIF4G1
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,EIF2S1
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPS3
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPS27L
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPS20
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,EIF3H
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,SSR3
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPL12
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,SPCS2
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPL4
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,EIF3F
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPN2
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,MRPL33
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,SEC11A
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,PTGES3
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,G3BP1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,HNRNPU
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,PABPC1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,CNBP
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,CLNS1A
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,SNRPA
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,XPO1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,HSPD1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,ABCE1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,HPRT1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,CCT3
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,PGK1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,MYC
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,PCNA
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,HSP90AB1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,TCP1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,CCT2
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,XPOT
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,NCBP1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,CCT5
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,TRA2B
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,CANX
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,POLD2
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,RPS2
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,DEK
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,SF3B3
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,HNRNPA3
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,EIF1AX
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,IFRD1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,USP1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,MCM2
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,PCBP1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,SRM
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,PHB2
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,C1QBP
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,RSL1D1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,CUL1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,PRPS2
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,HDGF
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,SRSF3
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,SNRPB2
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,GLO1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,HNRNPR
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,CBX3
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,CCT4
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,NHP2
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,UBE2L3
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,SRPK1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,SSBP1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,SET
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,CCT7
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,MAD2L1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,AP3S1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,SNRPD3
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,RRM1
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,KPNA2
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,RPL18
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,RFC4
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,SNRPD2
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,EIF3J
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,PSMD8
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,ERH
L2_3 IT,HALLMARK_MYC_TARGETS_V1,1.9268568593961273,3.7222374915554747e-4,TOMM70
