source,term_name,term_id,p_value,term_size,intersection_size,query_set,cell_type,dir
GO:BP,regulation of postsynaptic density assembly,GO:0099151,0.16151466601186726,14,4,Astro|down,Astro,down
GO:BP,negative regulation of glial cell differentiation,GO:0045686,0.16151466601186726,14,4,Astro|down,Astro,down
GO:BP,brain development,GO:0007420,0.16151466601186726,491,40,Astro|down,Astro,down
GO:BP,prostate gland epithelium morphogenesis,GO:0060740,0.16151466601186726,14,4,Astro|down,Astro,down
GO:BP,prostate gland morphogenesis,GO:0060512,0.16151466601186726,14,4,Astro|down,Astro,down
GO:BP,"positive regulation of mRNA splicing, via spliceosome",GO:0048026,0.16158535073628913,22,5,Astro|down,Astro,down
GO:BP,regulation of myelination,GO:0031641,0.16196355996478512,31,6,Astro|down,Astro,down
GO:BP,telencephalon development,GO:0021537,0.16238864763999186,187,19,Astro|down,Astro,down
GO:BP,protein localization to cell junction,GO:1902414,0.16341030319281638,85,11,Astro|down,Astro,down
GO:BP,regulation of glial cell differentiation,GO:0045685,0.165637897166066,41,7,Astro|down,Astro,down
GO:BP,neuron migration,GO:0001764,0.1679644237481684,135,15,Astro|down,Astro,down
GO:BP,oligodendrocyte differentiation,GO:0048709,0.17119017080978288,74,10,Astro|down,Astro,down
GO:BP,synaptic vesicle localization,GO:0097479,0.1728334061321652,52,8,Astro|down,Astro,down
GO:BP,exocytic process,GO:0140029,0.1728334061321652,63,9,Astro|down,Astro,down
GO:BP,regulation of postsynaptic membrane potential,GO:0060078,0.1728334061321652,86,11,Astro|down,Astro,down
GO:BP,multicellular organism development,GO:0007275,0.1728334061321652,2910,183,Astro|down,Astro,down
GO:BP,neural nucleus development,GO:0048857,0.1728334061321652,52,8,Astro|down,Astro,down
GO:BP,synapse assembly,GO:0007416,0.18126864583437136,190,19,Astro|down,Astro,down
GO:BP,acyl-CoA biosynthetic process,GO:0071616,0.18126864583437136,42,7,Astro|down,Astro,down
GO:BP,regulation of cellular component biogenesis,GO:0044087,0.1815330701839934,733,55,Astro|down,Astro,down
GO:BP,pattern specification process,GO:0007389,0.1815330701839934,246,23,Astro|down,Astro,down
GO:BP,regulation of RNA splicing,GO:0043484,0.1815330701839934,150,16,Astro|down,Astro,down
GO:BP,negative regulation of gliogenesis,GO:0014014,0.1815330701839934,23,5,Astro|down,Astro,down
GO:BP,cell development,GO:0048468,0.1886472234872392,1749,116,Astro|down,Astro,down
GO:BP,regulation of synapse organization,GO:0050807,0.18866389096736272,219,21,Astro|down,Astro,down
GO:BP,long-chain fatty-acyl-CoA biosynthetic process,GO:0035338,0.18866389096736272,15,4,Astro|down,Astro,down
GO:BP,postsynaptic membrane assembly,GO:0097104,0.18954863499419433,8,3,Astro|down,Astro,down
GO:BP,regulation of behavior,GO:0050795,0.19373950673982437,33,6,Astro|down,Astro,down
GO:BP,negative regulation of telomere maintenance in response to DNA damage,GO:1904506,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,spinal cord association neuron differentiation,GO:0021527,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,adenylate cyclase-inhibiting serotonin receptor signaling pathway,GO:0007198,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,"isopentenyl diphosphate biosynthetic process, mevalonate pathway",GO:0019287,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,synaptic vesicle targeting,GO:0016080,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,acetate metabolic process,GO:0006083,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,basolateral protein secretion,GO:0110010,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,positive regulation of pentose-phosphate shunt,GO:1905857,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,negative regulation of protection from non-homologous end joining at telomere,GO:1905765,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,epinephrine transport,GO:0048241,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,regulation of protection from non-homologous end joining at telomere,GO:1905764,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,regulation of NMDA receptor activity,GO:2000310,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,neuroblast differentiation,GO:0014016,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,positive regulation of single strand break repair,GO:1903518,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,farnesyl diphosphate metabolic process,GO:0045338,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,monocarboxylic acid metabolic process,GO:0032787,0.19373950673982437,368,31,Astro|down,Astro,down
GO:BP,telomeric DNA-containing double minutes formation,GO:0061819,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,small molecule biosynthetic process,GO:0044283,0.19373950673982437,351,30,Astro|down,Astro,down
GO:BP,noradrenergic neuron development,GO:0003358,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,skeletal muscle cell differentiation,GO:0035914,0.19373950673982437,43,7,Astro|down,Astro,down
GO:BP,fatty acid derivative metabolic process,GO:1901568,0.19373950673982437,44,7,Astro|down,Astro,down
GO:BP,intramembranous ossification,GO:0001957,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,localization,GO:0051179,0.19373950673982437,3392,209,Astro|down,Astro,down
GO:BP,direct ossification,GO:0036072,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,regulation of neurotransmitter transport,GO:0051588,0.19373950673982437,65,9,Astro|down,Astro,down
GO:BP,morphogenesis of an epithelial sheet,GO:0002011,0.19373950673982437,43,7,Astro|down,Astro,down
GO:BP,synapse organization,GO:0050808,0.19373950673982437,410,34,Astro|down,Astro,down
GO:BP,L-aspartate catabolic process,GO:0006533,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,dendrite morphogenesis,GO:0048813,0.19373950673982437,113,13,Astro|down,Astro,down
GO:BP,negative regulation of pro-B cell differentiation,GO:2000974,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,positive regulation of platelet-derived growth factor receptor-beta signaling pathway,GO:2000588,0.19373950673982437,3,2,Astro|down,Astro,down
GO:BP,receptor localization to synapse,GO:0097120,0.19535618500722274,55,8,Astro|down,Astro,down
GO:BP,glial cell development,GO:0021782,0.19535618500722274,90,11,Astro|down,Astro,down
GO:BP,regulation of small GTPase mediated signal transduction,GO:0051056,0.19535618500722274,223,21,Astro|down,Astro,down
GO:BP,vitamin transport,GO:0051180,0.21210346437976502,25,5,Astro|down,Astro,down
GO:BP,associative learning,GO:0008306,0.21210346437976502,56,8,Astro|down,Astro,down
GO:BP,positive regulation of mRNA processing,GO:0050685,0.21210346437976502,25,5,Astro|down,Astro,down
GO:BP,glutamate receptor signaling pathway,GO:0007215,0.21210346437976502,45,7,Astro|down,Astro,down
GO:BP,very long-chain fatty acid metabolic process,GO:0000038,0.21210346437976502,25,5,Astro|down,Astro,down
GO:BP,ionotropic glutamate receptor signaling pathway,GO:0035235,0.21210346437976502,25,5,Astro|down,Astro,down
GO:BP,lipid metabolic process,GO:0006629,0.2121088877369237,828,60,Astro|down,Astro,down
GO:BP,potassium ion transmembrane transport,GO:0071805,0.2121088877369237,104,12,Astro|down,Astro,down
GO:BP,somatic stem cell division,GO:0048103,0.21567582639384267,9,3,Astro|down,Astro,down
GO:BP,positive regulation of cell junction assembly,GO:1901890,0.21567582639384267,68,9,Astro|down,Astro,down
GO:BP,regulation of circadian sleep/wake cycle,GO:0042749,0.21567582639384267,9,3,Astro|down,Astro,down
GO:BP,response to oxygen-containing compound,GO:1901700,0.21567582639384267,944,67,Astro|down,Astro,down
GO:BP,steroid biosynthetic process,GO:0006694,0.21567582639384267,92,11,Astro|down,Astro,down
GO:BP,"phagocytosis, recognition",GO:0006910,0.21567582639384267,9,3,Astro|down,Astro,down
GO:BP,cellular process,GO:0009987,0.21567582639384267,9992,554,Astro|down,Astro,down
GO:BP,membrane docking,GO:0022406,0.21567582639384267,68,9,Astro|down,Astro,down
GO:BP,protein localization to presynapse,GO:1905383,0.21567582639384267,9,3,Astro|down,Astro,down
GO:BP,cell migration involved in heart development,GO:0060973,0.21567582639384267,9,3,Astro|down,Astro,down
GO:BP,regulation of hydrolase activity,GO:0051336,0.2196499711241662,185,18,Astro|down,Astro,down
GO:BP,cell junction organization,GO:0034330,0.2197848028210446,575,44,Astro|down,Astro,down
GO:BP,head development,GO:0060322,0.22609358322154613,529,41,Astro|down,Astro,down
GO:BP,nucleoside triphosphate metabolic process,GO:0009141,0.22636672928488424,172,17,Astro|down,Astro,down
