pathway,pval,padj,log2err,ES,NES,size,cell_type
Phospholipid metabolism,0.07259475218658892,0.1621425986246833,0.04457254150787853,-0.23666440136959804,-1.2036637558883092,329,Sst
SREBP regulation,0.6574245744142929,0.7304044312922073,0.012757712378511275,-0.2208330774223639,-0.8971222564214731,69,Sst
Sphingolipid metabolism,0.42542767649184804,0.6077538235597829,0.016997199441477165,-0.2231860852200615,-1.0145840252060743,135,Sst
Steroid metabolism,0.7304044312922073,0.7304044312922073,0.010590988968846407,-0.18402617742691185,-0.8996014159012631,231,Sst
Sterol biosynthesis,0.05557919822963656,0.1621425986246833,0.05554971689444756,-0.35041057006851,-1.3729672547098755,57,Sst
Cholesterol homeostasis,0.5889078083191438,0.8948148148148148,0.01805092325972732,0.3372409032588011,0.893996289134298,10,Sst Chodl
Fatty acid metabolism,0.7289761654924299,0.8948148148148148,0.010485497918239479,-0.2316403730516467,-0.8409930863324363,46,Sst Chodl
Mevalonate / isoprenoid,0.8839157060518732,0.8948148148148148,0.010392543677604114,-0.3316622365998418,-0.6593669871283058,5,Sst Chodl
Phospholipid metabolism,0.06994673395009812,0.559573871600785,0.04452549182749129,-0.32153949594025566,-1.3152506902995509,88,Sst Chodl
SREBP regulation,0.14771686510532514,0.5908674604213006,0.041716924142274875,0.3971357340036259,1.2818255069062239,19,Sst Chodl
Sphingolipid metabolism,0.8948148148148148,0.8948148148148148,0.00879256317502196,-0.21125785250491513,-0.7058934740764039,31,Sst Chodl
Steroid metabolism,0.3268070072133078,0.8714853525688208,0.02887384525986404,0.2734527813041458,1.0769745160758717,41,Sst Chodl
Sterol biosynthesis,0.4418632936025298,0.8837265872050596,0.021654547227342936,0.37843807829397164,1.003206415333002,10,Sst Chodl
Cholesterol biosynthesis,0.03416502743555234,0.08541256858888084,0.07882054850855498,-0.4718081601054588,-1.5305444293961843,23,Vip
Cholesterol homeostasis,0.31556982343499196,0.41283168510721624,0.02453246602183044,-0.26324653551450083,-1.0729122391173835,62,Vip
Fatty acid metabolism,0.44425312096427033,0.4936145788491893,0.01730142544975308,0.19419938197226752,1.002832797157773,364,Vip
Lipid transport,0.330265348085773,0.41283168510721624,0.02265156116615875,0.39045433025679344,1.1015483399463584,15,Vip
Mevalonate / isoprenoid,0.029602122015915118,0.08541256858888084,0.08584534560408125,-0.40230750799529585,-1.4935819586340933,40,Vip
Phospholipid metabolism,0.0016023116186141086,0.016023116186141086,0.45505986738722953,-0.2714475686710758,-1.4343248109084783,349,Vip
SREBP regulation,0.15868746637977407,0.2644791106329568,0.03615951068712084,-0.2862785040213524,-1.1957900396429484,70,Vip
Sphingolipid metabolism,0.007931112621799229,0.03965556310899614,0.1727517659597919,-0.3028861508012922,-1.4426427634998569,151,Vip
