sample_id,x,y,subclass,supertype,layer,qc_pass
Br1139,2372.214036,3384.776568,L6 CT,L6 CT_4,L5,False
Br1139,2379.201036,3380.78156,Endothelial,Endo_2,L5,True
Br1139,2393.319528,3348.439052,Sst,Sst_19,L5,True
Br1139,2410.200548,3442.474592,L5 IT,L5 IT_7,L5,True
Br1139,2374.02452,3470.91556,Microglia-PVM,Micro-PVM_2_1-SEAAD,L5,True
Br1139,2393.574528,3425.814584,L5 IT,L5 IT_5,L5,True
Br1139,2374.390016,3417.391084,L5 IT,L5 IT_7,L5,True
Br1139,2368.601536,3427.00458,L5 IT,L5 IT_2,L5,True
Br1139,2391.764012,3393.710076,L4 IT,L4 IT_2,L5,True
Br1139,2391.135024,3409.375592,L4 IT,L4 IT_1,L5,True
Br1139,2405.695532,3404.777068,L4 IT,L4 IT_3,L5,True
Br1139,2383.434044,3396.625588,L4 IT,L4 IT_2,L5,True
Br1139,2347.904032,3355.3921,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2364.377024,3391.678572,L4 IT,L4 IT_2,L5,True
Br1139,2338.64752,3416.371064,Sst,Sst_19,L5,True
Br1139,2356.574028,3416.090552,L4 IT,L4 IT_2,L5,True
Br1139,2368.227532,3372.128564,L5 IT,L5 IT_5,L5,True
Br1139,2352.81702,3366.025592,Microglia-PVM,Monocyte,L5,True
Br1139,2286.11752,3331.974592,L4 IT,L4 IT_4,L5,False
Br1139,2275.637032,3341.273568,L4 IT,L4 IT_1,L4,False
Br1139,2283.032028,3340.729548,L4 IT,L4 IT_4,L4,True
Br1139,2293.257524,3334.023084,L4 IT,L4 IT_4,L5,True
Br1139,2266.21054,3407.446064,Astrocyte,Astro_2,L4,True
Br1139,2326.382028,3417.31458,Astrocyte,Astro_2,L5,True
Br1139,2263.116548,3414.934572,Astrocyte,Astro_5,L4,True
Br1139,2301.060528,3407.777556,L4 IT,L4 IT_1,L4,True
Br1139,2290.410028,3411.339048,OPC,OPC_2_1-SEAAD,L4,True
Br1139,2249.372024,3379.25158,Astrocyte,Astro_2,L4,True
Br1139,2265.828044,3375.316076,L5 IT,L5 IT_5,L4,True
Br1139,2255.866028,3370.386068,Astrocyte,Astro_5,L4,True
Br1139,2258.314028,3387.802568,L4 IT,L4 IT_1,L4,False
Br1139,2311.29452,3355.179564,Chandelier,Chandelier_1,L5,False
Br1139,2299.658028,3362.923052,L2/3 IT,L2/3 IT_1,L4,True
Br1139,2195.941044,3358.707084,L6 CT,L6 CT_4,L4,True
Br1139,2277.294532,3332.07658,L2/3 IT,L2/3 IT_5,L4,True
Br1139,2467.210036,3311.59158,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2430.51554,3384.725608,Microglia-PVM,Micro-PVM_2_1-SEAAD,L5,True
Br1139,2449.68304,3336.284084,L4 IT,L4 IT_1,L5,True
Br1139,2446.06204,3577.743588,L5 IT,L5 IT_2,L5,True
Br1139,2440.214028,3570.255068,Endothelial,Endo_2,L5,True
Br1139,2456.721032,3546.089544,Oligodendrocyte,Oligo_1,L5,True
Br1139,2448.63752,3496.152104,VLMC,Pericyte_2-SEAAD,L5,True
Br1139,2455.446024,3497.860584,L4 IT,L4 IT_1,L5,True
Br1139,2453.227528,3503.632068,L5 IT,L5 IT_5,L5,False
Br1139,2459.109524,3461.217064,L5 IT,L5 IT_5,L5,True
Br1139,2447.048036,3467.864064,L5 IT,L5 IT_5,L5,True
Br1139,2428.883536,3529.42958,Endothelial,Endo_2,L5,True
Br1139,2435.420024,3478.064084,L5 IT,L5 IT_5,L5,True
Br1139,2441.40404,3488.034584,L4 IT,L4 IT_1,L5,False
Br1139,2434.19602,3490.253024,Oligodendrocyte,Oligo_3,L5,True
Br1139,2443.38452,3391.381044,Astrocyte,Astro_5,L5,True
Br1139,2464.23504,3424.76908,L5 IT,L5 IT_5,L5,True
Br1139,2443.053028,3430.84656,L5 IT,L5 IT_5,L5,True
Br1139,2447.668536,3399.592116,Astrocyte,Astro_2,L5,True
Br1139,2517.436524,3154.09508,Pvalb,Pvalb_6,L5,True
Br1139,2531.750524,3176.934536,Oligodendrocyte,Oligo_3,L5,True
Br1139,2525.43502,3173.296576,L4 IT,L4 IT_2,L5,True
Br1139,2519.680532,3310.741568,L5 IT,L5 IT_2,L5,True
Br1139,2511.044508,3268.717564,L5 IT,L5 IT_2,L5,True
Br1139,2485.459528,3246.745056,L5 IT,L5 IT_5,L5,False
Br1139,2478.379032,3286.559072,Microglia-PVM,Micro-PVM_2_1-SEAAD,L5,True
Br1139,2495.906036,3239.664608,L5 IT,L5 IT_1,L5,False
Br1139,2490.916528,3278.594548,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2533.399544,3202.171048,Vip,Vip_18,L5,True
Br1139,2523.811532,3252.423072,Sst,Sst_13,L5,True
Br1139,2521.338028,3216.213088,L4 IT,L4 IT_1,L5,True
Br1139,2531.657028,3210.73058,Vip,Vip_18,L5,True
Br1139,2520.734544,3717.534584,L5 IT,L5 IT_7,L5,True
Br1139,2535.278032,3677.278576,Microglia-PVM,Micro-PVM_3-SEAAD,L5,True
Br1139,2523.973036,3738.223576,L5 IT,L5 IT_1,L5,False
Br1139,2525.460528,3747.709568,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2523.811536,3676.241544,Oligodendrocyte,Oligo_3,L5,True
Br1139,2532.583544,3861.9241,L5/6 NP,L5/6 NP_1,L5,True
Br1139,2548.079032,3866.199564,L5/6 NP,L5/6 NP_6,L5,True
Br1139,2526.361516,3887.075536,L5/6 NP,L5/6 NP_2,L5,True
Br1139,2489.14002,3891.699572,Vip,Vip_23,L5,True
Br1139,2495.464052,3851.350052,L5 IT,L5 IT_2,L5,True
Br1139,2551.666028,3824.702564,Lamp5,Lamp5_6,L5,False
Br1139,2469.726012,3839.926044,L5 IT,L5 IT_6,L5,True
Br1139,2517.67452,3699.081084,L5 IT,L5 IT_7,L5,False
Br1139,2499.544032,3801.497568,Astrocyte,Astro_5,L5,True
Br1139,2508.503032,3752.367556,Microglia-PVM,Micro-PVM_2_1-SEAAD,L5,True
Br1139,2493.95954,3712.621544,OPC,OPC_2_1-SEAAD,L5,True
