gene,spearman_rho,pval,pval_fdr,abs_rho,is_scz_gwas,magma_zstat,spredixcan_z,spredixcan_fdr,lead_snp_beta,signed_magma_z,direction_source
FKBP1B,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,2.5959,1.0210893391435856,0.4200662523036977,0.0356952753244514,1.0210893391435856,spredixcan
NR4A1,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,0.24995,,,-0.0293979151845611,-0.24995,lead_snp
BRD8,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,1.0929,,,-0.131202677615852,-1.0929,lead_snp
ZNF778,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,2.5834,7.010008142798384,3.4492757220511336e-11,0.0897035830817786,7.010008142798384,spredixcan
AC090115.1,-0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
HSF1,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,-0.17932,2.945664469618563,0.0092646425728119,-0.142497179728556,2.945664469618563,spredixcan
AC068308.1,-0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
MARCH8,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,-0.95752,-2.5884132977421226,0.0238258566868022,-0.0757046307503157,-2.5884132977421226,spredixcan
PHLDA1,-0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,2.605,,,0.0423983514166169,2.605,lead_snp
VAX1,-0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,-0.24526,-3.700802878684069,0.0008379043878754,0.0275957115907991,-3.700802878684069,spredixcan
AP001178.2,0.7067984758603625,0.0010396161310687018,0.022063795587429283,0.7067984758603625,False,,,,,,none
LINC01917,0.7063096802773546,0.001051746782687656,0.022306655619747994,0.7063096802773546,False,,,,,,none
WNT16,0.7059820742880565,0.0010599428717585335,0.022465804172804974,0.7059820742880565,False,1.5596,,,-0.0663962456396854,-1.5596,lead_snp
STMND1,0.705321615434539,0.001076627967778595,0.022631147968865662,0.705321615434539,False,0.051645,0.2994178941202751,0.8293289016145082,-0.0798010702035548,0.2994178941202751,spredixcan
VAMP5,0.705321615434539,0.001076627967778595,0.022631147968865662,0.705321615434539,False,-0.83199,,,-0.0369026020501437,-0.83199,lead_snp
AC239860.4,0.7052143428176499,0.0010793584996526516,0.022631147968865662,0.7052143428176499,False,,,,,,none
AL365271.1,0.7051469916045027,0.001081075809104815,0.022631147968865662,0.7051469916045027,False,,,,,,none
TOMM40L,0.7048503611971104,0.0010886663167765577,0.022631147968865662,0.7048503611971104,False,1.1031,2.118640577513908,0.0704088506285724,-0.0238010101859522,2.118640577513908,spredixcan
VIPAS39,0.7048503611971104,0.0010886663167765577,0.022631147968865662,0.7048503611971104,False,1.5043,,,-0.0948053072739119,-1.5043,lead_snp
TTC33,0.7048503611971104,0.0010886663167765577,0.022631147968865662,0.7048503611971104,False,1.1329,-2.83102965643633,0.0126871332332094,-0.117095771876247,-2.83102965643633,spredixcan
ADCY9,0.7048503611971104,0.0010886663167765577,0.022631147968865662,0.7048503611971104,False,2.2376,3.5959284321351572,0.0012050087357001,-0.0378991867540796,3.5959284321351572,spredixcan
