supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
Amex_172,-0.8186434048710796,3.919063367432776,-0.20888751421422935,0.5827307129336154,16870,1.0,0.8471489844092733,Siletti
MSN_209,-0.7317638434920309,3.420492435329967,-0.21393523222963637,0.5846999244401749,16870,1.0,0.8475621383095331,Siletti
CA13_181,-0.6660511033286441,2.898874042819179,-0.22976200189812454,0.5908602503340039,16870,1.0,0.853570907309897,Siletti
ULIT_121,-0.49936822738538783,2.1403441651271655,-0.23331211658463283,0.5922390589486164,16870,1.0,0.853570907309897,Siletti
Splat_365,-0.3235964271398873,1.3051072025837709,-0.24794624265290316,0.5979104905420113,16870,1.0,0.8592827906932333,Siletti
DLCT6b_103,-0.6037676730243432,2.3103896829824655,-0.26132720271021287,0.6030783092247162,16870,1.0,0.8642404260399779,Siletti
Splat_382,-0.5710343365639943,2.1264895802671635,-0.2685338041920957,0.6058541287160335,16870,1.0,0.8657517805231956,Siletti
CA4_191,-0.5532488241313056,2.000387640553801,-0.2765708070352506,0.6089434637996054,16870,1.0,0.867600293522311,Siletti
Amex_158,-1.159407537074247,4.090484450145712,-0.28344015267750167,0.6115785342461116,16870,1.0,0.867600293522311,Siletti
CA4_190,-0.7590575728789388,2.659800316516524,-0.28538141309534776,0.6123222747523269,16870,1.0,0.867600293522311,Siletti
Astro_4,-0.43048702024094915,1.4271309002152355,-0.30164508397654655,0.6185368224952308,16870,1.0,0.873943881222194,SEA-AD
Per_21,-0.448848404781745,1.4145432035395726,-0.3173097885300385,0.6244937606491137,16870,1.0,0.878410614395152,Siletti
Splat_348,-0.3591730738345891,1.1103150276332179,-0.32348753722645146,0.6268349722976688,16870,1.0,0.878410614395152,Siletti
OPC_36,-1.1351741609614925,3.5062475837518177,-0.3237575595693711,0.6269371979480309,16870,1.0,0.878410614395152,Siletti
CA13_184,-0.3775216977569884,1.1478889549191844,-0.3288834657212703,0.6288760720738679,16870,1.0,0.878679622925432,Siletti
DG_202,-1.3900093551457868,4.078028530235343,-0.3408532688871525,0.6333908539207145,16870,1.0,0.8825362867648737,Siletti
Splat_399,-0.3475531737236474,0.9864693921286413,-0.35232028129497656,0.6376987589150171,16870,1.0,0.8860841871111979,Siletti
CBI_299,-1.2852849477963497,3.4175311820581666,-0.37608579975627393,0.6465710792705841,16870,1.0,0.8959373357385779,Siletti
Splat_335,-0.7994435460794111,2.014508280851273,-0.39684301805976663,0.6542558762661891,16870,1.0,0.9040953454997063,Siletti
OPC_2_2-SEAAD,-0.7471526352790919,1.6677761006742595,-0.44799336971972925,0.6729181318563493,16870,1.0,0.927336494037654,SEA-AD
COP_39,-0.48074022051760457,1.0418300546544794,-0.4614382339709339,0.6777549114944464,16870,1.0,0.9294713250931255,Siletti
MSN_214,-1.8895116885979484,4.008509988744044,-0.4713750730081066,0.6813104945462789,16870,1.0,0.9294713250931255,Siletti
DLNP_95,-1.8756881575678526,3.9573846059199647,-0.4739716616782602,0.6822368743425438,16870,1.0,0.9294713250931255,Siletti
Splat_313,-0.6807554349712988,1.4360816930530902,-0.47403670575593926,0.6822600653804154,16870,1.0,0.9294713250931255,Siletti
DLCT6b_101,-0.8287140510169048,1.7258732114271917,-0.48017087554862087,0.6844439389879351,16870,1.0,0.9294713250931255,Siletti
