gene,spearman_rho,pval,n_expressing,pval_fdr,abs_rho
FAM120A,-0.15771510281554205,0.06876081999925523,114,0.3369258577311978,0.15771510281554205
LOC105373813,-0.157707405812649,0.06877451959035477,60,0.3369258577311978,0.157707405812649
LOC102724714,0.1577012072554748,0.06878555376888501,25,0.3369258577311978,0.1577012072554748
ST6GALNAC3,-0.15769012338907692,0.06880528797121993,114,0.3369258577311978,0.15769012338907692
LLPH,-0.15768769001714622,0.06880962106905203,91,0.3369258577311978,0.15768769001714622
LOC105376714,-0.15768208918093948,0.06881959530294125,28,0.3369258577311978,0.15768208918093948
DAZAP2P1,-0.15767006179957996,0.0688410182011934,58,0.3369258577311978,0.15767006179957996
CNTNAP4,-0.15766626680051227,0.06884777889140817,79,0.3369258577311978,0.15766626680051227
CXCL3,-0.15766454321472448,0.06885084959187751,28,0.3369258577311978,0.15766454321472448
MEPCE,-0.15764863055556005,0.06887920447139917,64,0.3369800249587313,0.15764863055556005
LOC105375806,-0.15764278128781106,0.0688896297066244,10,0.3369800249587313,0.15764278128781106
LOC105370964,-0.15762271717566914,0.06892540000505008,20,0.33708720159316774,0.15762271717566914
LOC100996654,-0.15759075022248406,0.0689824218512203,34,0.33723543834781916,0.15759075022248406
PIEZO1P2,0.1575832805321716,0.06899575161753257,11,0.33723543834781916,0.1575832805321716
TRAF3IP2-AS1,0.1575824081405502,0.06899730854893911,128,0.33723543834781916,0.1575824081405502
LOC105376375,0.15756232600532316,0.06903315642817333,11,0.33734285663845764,0.15756232600532316
UQCR11,-0.1575445466031016,0.06906490640593896,129,0.33743021066670176,0.1575445466031016
MIEF2,0.15752766366041332,0.06909506648639643,35,0.3375097634094492,0.15752766366041332
LOC105371998,0.15751794059998242,0.06911244084012136,22,0.33752684210293005,0.15751794059998242
LOC105369350,-0.15749652798868574,0.06915071602322018,12,0.3375735639443575,0.15749652798868574
SNRPD2,-0.15748407243146595,0.0691729883306765,123,0.3375735639443575,0.15748407243146595
MIR100HG,0.15747970627239574,0.06918079702264714,129,0.3375735639443575,0.15747970627239574
LOC727978,0.15746828728247303,0.06920122279016695,19,0.3375735639443575,0.15746828728247303
SREBF2,0.15746682433702852,0.06920383999398272,127,0.3375735639443575,0.15746682433702852
LOC105372346,0.1574660154114676,0.06920528719323081,13,0.3375735639443575,0.1574660154114676
LOC105376567,0.1574493377170639,0.069235129712796,16,0.3376158429642424,0.1574493377170639
LOC105375989,0.15744565656645776,0.06924171805047659,45,0.3376158429642424,0.15744565656645776
RPL37,-0.1573972538860211,0.06932839408738639,122,0.3378251136164379,0.1573972538860211
ZEB1,-0.15739500726077899,0.06933241932047209,126,0.3378251136164379,0.15739500726077899
TBX1,0.15739082614177052,0.06933991105213515,28,0.3378251136164379,0.15739082614177052
FTH1P7,-0.1573873112134245,0.06934620961143614,94,0.3378251136164379,0.1573873112134245
LOC105369957,0.15738291460800335,0.06935408874169954,16,0.3378251136164379,0.15738291460800335
RBP4,0.15734745279290077,0.06941766622433164,108,0.33787666758912843,0.15734745279290077
TRIM26,-0.15733528458820425,0.06943949281024729,93,0.33787666758912843,0.15733528458820425
ARPC2,-0.1573319235018684,0.06944552270447452,131,0.33787666758912843,0.1573319235018684
IKBIP,-0.15732699228590147,0.06945437022976571,86,0.33787666758912843,0.15732699228590147
PGK1P2,-0.15732438826758577,0.06945904269564918,18,0.33787666758912843,0.15732438826758577
H2AFJ,-0.15731461687804482,0.06947657805970901,56,0.33787666758912843,0.15731461687804482
SAMD1,-0.1573141317331274,0.06947744877595897,27,0.33787666758912843,0.1573141317331274
KCNMB3,0.15731158709551418,0.06948201592203447,33,0.33787666758912843,0.15731158709551418
SLC9C1,0.15730730389488,0.06948970401220428,48,0.33787666758912843,0.15730730389488
FLJ42627,-0.1572726188377809,0.06955198706574486,26,0.3380555248293919,0.1572726188377809
ABHD4,-0.15726134036420322,0.06957224928683932,44,0.3380555248293919,0.15726134036420322
DNAJC7,-0.1572429200086759,0.06960535248227724,121,0.3380555248293919,0.1572429200086759
MAP4K4,-0.15723407677673637,0.06962124918353944,132,0.3380555248293919,0.15723407677673637
SNTG1,0.15723334747724735,0.06962256031268639,130,0.3380555248293919,0.15723334747724735
TUBB2A,0.15723217113711263,0.06962467517038293,131,0.3380555248293919,0.15723217113711263
FAM227A,0.15723115161968748,0.06962650812993647,88,0.3380555248293919,0.15723115161968748
SLC9A3R1,-0.1572231054791996,0.06964097541696417,49,0.3380555248293919,0.1572231054791996
PNPLA1,0.1572083922168935,0.06966743676936495,45,0.3380555248293919,0.1572083922168935
LOC105369828,-0.15720236940583407,0.06967827096452173,18,0.3380555248293919,0.15720236940583407
