supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
Splat_394,5.081411703608118,2.0182570629837047,2.5177227404798357,0.005910548260692039,16363,1.0,0.024547412145757026,Conti
ULIT_120,12.529529808905332,5.031056984699079,2.490436869829006,0.006384229759259119,16363,1.0,0.026277945705521912,Conti
Splat_400,3.628607281122417,1.4631873227588337,2.479933515471343,0.006575338247291618,16363,1.0,0.026825052495587927,Conti
MGE_250,5.250700627948584,2.1638020654530425,2.4266085663659016,0.0076257106271006014,16363,1.0,0.0308373035008191,Conti
DLNP_86,7.754091852040326,3.2487612629686042,2.3867841384426347,0.008503880775327377,16363,1.0,0.03408946989066018,Conti
CGE_281,5.761892272109278,2.4381239139402857,2.3632483317049315,0.00906357700092797,16363,1.0,0.036019905150239596,Conti
EMSN_229,6.35706033487574,2.7095589813002725,2.3461605297202617,0.009489903471043393,16363,1.0,0.03739184188163251,Conti
MSN_208,11.112158469064655,4.770061011936118,2.329563173565016,0.009920678724922416,16363,1.0,0.03875790586601045,Conti
Thex_449,9.78339323832895,4.206569534266749,2.3257414761917876,0.010022253891920352,16363,1.0,0.038825706253573795,Conti
DLNP_87,7.919623951917472,3.438530739525333,2.303199986227468,0.010640037734586993,16363,1.0,0.04086757866249362,Conti
URL_311,2.9105372156991867,1.2662359530315852,2.2985741391490766,0.010770840504451207,16363,1.0,0.04086757866249362,Conti
DLNP_92,11.710444713914836,5.098117220265,2.29701362443489,0.010815281121093756,16363,1.0,0.04086757866249362,Conti
URL_310,4.695751229100089,2.0480674262884295,2.2927717949256547,0.01093688828767081,16363,1.0,0.04099110163102637,Conti
Splat_357,4.388526321326318,1.9247770171307337,2.280018039631571,0.011309714654227032,16363,1.0,0.04194822174506237,Conti
EMSN_227,12.719764819406032,5.584115520597209,2.277847722255875,0.011374246677077648,16363,1.0,0.04194822174506237,Conti
CGE_287,6.647394326261476,3.0133257943201928,2.205999211499509,0.013698952074340132,16363,1.0,0.05012076909738731,Conti
CBI_304,4.578966942373126,2.137426325084981,2.142280596357431,0.016092813554990704,16363,1.0,0.05841564605394264,Conti
