gene,spearman_rho_sag,pval_sag,pval_fdr_sag,spearman_rho_tau,pval_tau,pval_fdr_tau,combined_score,is_scz
ACAD11,0.823529411764706,8.83913936384215e-05,0.03147413547325024,-0.8382352941176471,5.010342100683488e-05,0.006879242164764706,1.661764705882353,False
CUX2,0.8352941176470589,5.637132062814421e-05,0.02726268510916055,-0.8264705882352942,7.923548582249701e-05,0.008124896984513833,1.661764705882353,False
TMEM268,0.8411764705882352,4.44290429431383e-05,0.024821280663560524,-0.8205882352941177,9.841270416875375e-05,0.008809024456298695,1.6617647058823528,False
TTC39C,0.7676470588235293,0.0005168835242959222,0.055828589459202556,-0.8941176470588235,3.0113099296374175e-06,0.0019913362377559436,1.6617647058823528,False
ADAMTS17,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,-0.8088235294117646,0.0001484755922323442,0.010787117971086658,1.6617647058823528,False
ERICH5,0.7441176470588236,0.0009482827857378677,0.06983456160514576,-0.9147058823529413,7.011802190203182e-07,0.0010327428471325168,1.6588235294117648,False
HAPLN2,0.7764705882352941,0.0004043508405454708,0.05238536822853493,-0.8823529411764707,6.095619569194933e-06,0.0028216622985803345,1.6588235294117648,False
AK3,0.7911764705882354,0.0002619464480824596,0.04286793311725221,-0.8676470588235294,1.334868129916697e-05,0.004042404861092592,1.6588235294117648,False
TRERF1,0.8441176470588234,3.930242737399882e-05,0.024490702965378534,-0.8147058823529412,0.00012130950572235612,0.009851608806820816,1.6588235294117646,False
KBTBD2,0.7382352941176471,0.0010928508118481525,0.07226866297207282,-0.9176470588235294,5.528654958744469e-07,0.0010327428471325168,1.6558823529411764,False
SMARCA2,0.7970588235294117,0.0002180980699057476,0.042065665233071065,-0.8588235294117647,2.0464395736214244e-05,0.004669773345355986,1.6558823529411764,False
AC092745.5,0.8323529411764706,6.328124573232546e-05,0.02847919729811864,-0.8205882352941177,9.841270416875375e-05,0.008809024456298695,1.6529411764705884,False
TARS,0.7264705882352941,0.0014361826350785254,0.0807927533410581,-0.9264705882352942,2.561397065047752e-07,0.0010327428471325168,1.6529411764705881,False
NR3C2,0.7647058823529411,0.0005596762943567444,0.05702890240893582,-0.888235294117647,4.32625086797558e-06,0.002261024304435689,1.6529411764705881,False
MATN2,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,-0.7999999999999999,0.00019857097280000065,0.012373644676227733,1.6529411764705881,False
ETV1,0.9529411764705882,1.2096579348828995e-08,0.0003919654606401059,-0.6970588235294117,0.0026905894025605944,0.04519604375903108,1.65,False
AC005726.1,0.8176470588235294,0.00010936308081986552,0.0331186159608047,-0.8294117647058824,7.088454064639912e-05,0.007865999214264625,1.6470588235294117,False
RBBP7,0.8147058823529412,0.00012130950572235612,0.03418079925149135,-0.8294117647058824,7.088454064639912e-05,0.007865999214264625,1.6441176470588235,False
ARHGAP21,0.788235294117647,0.0002864656823918494,0.044201654793062366,-0.8441176470588234,3.930242737399882e-05,0.006122675741344633,1.6323529411764706,False
AP001347.1,0.8205882352941177,9.841270416875375e-05,0.0331186159608047,-0.8117647058823528,0.00013432237477471035,0.010462615167848412,1.6323529411764706,False
SLC18B1,0.7705882352941176,0.00047682239536332553,0.05440308477802055,-0.8617647058823529,1.780518441981504e-05,0.004370768111782324,1.6323529411764706,False
CCDC152,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,-0.7764705882352941,0.0004043508405454708,0.017899153396441107,1.6294117647058823,False
KCNAB3,0.7205882352941175,0.0016381911638796128,0.08493169325310575,-0.9088235294117648,1.1005852200187758e-06,0.0011503955769118837,1.6294117647058823,False
LRRTM3,0.6970588235294117,0.0026905894025605944,0.10453617315488123,-0.9294117647058824,1.9401189481036708e-07,0.0010327428471325168,1.6264705882352941,False
MAP1LC3B2,0.7911764705882354,0.0002619464480824596,0.04286793311725221,-0.8352941176470589,5.637132062814421e-05,0.007191338198085657,1.6264705882352941,False
NPTN,0.6676470588235294,0.004711981947989977,0.13049773594933267,-0.9529411764705882,1.2096579348828995e-08,0.00019598273032005295,1.6205882352941177,False
TOX2,0.7029411764705883,0.0023869526693009323,0.0991595222350745,-0.9147058823529413,7.011802190203182e-07,0.0010327428471325168,1.6176470588235294,False
SLC24A3,0.7823529411764706,0.00034122076396497244,0.047453117659901296,-0.8352941176470589,5.637132062814421e-05,0.007191338198085657,1.6176470588235294,False
APPBP2,0.8352941176470589,5.637132062814421e-05,0.02726268510916055,-0.7823529411764706,0.00034122076396497244,0.016331722916923194,1.6176470588235294,False
AP001783.1,0.7205882352941175,0.0016381911638796128,0.08493169325310575,-0.8970588235294116,2.4923759658858707e-06,0.001835464964149997,1.617647058823529,False
