cell_type,source,group,cell_class,color,n_genes,beta,se,p,neglog10p,fdr,bonferroni,depleted_scz
L5/6 NP_2,SEA-AD,L5/6 NP,Excitatory,#86ba96,15981,3.3378,4.1723,0.21187,0.6739305334111058,0.29567373259052926,1.0,False
L5/6 NP_3,SEA-AD,L5/6 NP,Excitatory,#6da17e,15981,2.2147,2.2827,0.16598,0.7799442397486586,0.24243725947521866,1.0,False
L5/6 NP_6,SEA-AD,L5/6 NP,Excitatory,#225637,15981,0.69832,2.6269,0.39518,0.4032050431062469,0.4962034586466165,1.0,False
L5/6 NP_4,SEA-AD,L5/6 NP,Excitatory,#538866,15981,8.7837,4.2496,0.01938,1.7126462272852534,0.042214695652173916,1.0,False
Astro_1,SEA-AD,Astro,Non-neuronal,#d1c9ba,15981,-2.2509,2.2457,0.84189,0.07474464901555909,0.9629837671232877,1.0,False
Astro_2,SEA-AD,Astro,Non-neuronal,#aaa395,15981,-1.5227,2.7458,0.7104,0.14849704722945536,0.8388744,1.0,False
Astro_5,SEA-AD,Astro,Non-neuronal,#383228,15981,-2.4475,2.5127,0.83498,0.07832392690401747,0.9593519450800916,1.0,False
Astro_3,SEA-AD,Astro,Non-neuronal,#847d71,15981,-0.69471,2.3592,0.6158,0.2105603154328207,0.7398460431654676,1.0,False
Astro_4,SEA-AD,Astro,Non-neuronal,#5e574c,15981,-0.20138,2.3845,0.53365,0.27274348623770367,0.6473575060532687,1.0,False
OPC_1,SEA-AD,OPC,Non-neuronal,#75827f,15981,2.1735,1.9857,0.13686,0.8637234643397078,0.207495,1.0,False
OPC_2,SEA-AD,OPC,Non-neuronal,#263430,15981,2.0704,3.6817,0.28695,0.5421937709170229,0.3793191292875989,1.0,False
Oligo_1,SEA-AD,Oligo,Non-neuronal,#b2cec5,15981,-0.17858,2.3937,0.52973,0.2759454311317581,0.6441619660194176,1.0,False
Oligo_2,SEA-AD,Oligo,Non-neuronal,#799b8e,15981,2.8664,2.8122,0.15405,0.8123382973470405,0.22699720588235295,1.0,False
Oligo_4,SEA-AD,Oligo,Non-neuronal,#32443d,15981,0.9109,2.5393,0.3599,0.4438181533470888,0.4611506393861893,1.0,False
Oligo_3,SEA-AD,Oligo,Non-neuronal,#4a6b61,15981,1.6216,2.3234,0.2426,0.6151092034694459,0.3293837398373984,1.0,False
Endo_2,SEA-AD,Endo,Non-neuronal,#b09a93,15981,-3.2553,1.1536,0.99761,0.0010392061583708457,1.0,1.0,False
Micro-PVM_2,SEA-AD,Micro-PVM,Non-neuronal,#94af97,15981,-2.0851,1.047,0.97678,0.010203241342618217,1.0,1.0,False
L6 CT_4,SEA-AD,L6 CT,Excitatory,#1b5166,15981,8.7903,3.6075,0.0074176,2.129736590052517,0.01915576082474227,1.0,False
Astro_6-SEAAD,SEA-AD,Astro,Non-neuronal,#998a6b,15981,-2.0502,1.4178,0.92591,0.03343122541628001,1.0,1.0,False
