cluster,conti_beta,conti_pvalue,conti_fdr,conti_sig,repro_beta,repro_pvalue,repro_fdr,repro_sig,both_sig
CGE_289,6.586183525085223,0.0018404535972103,0.0093236165748785,True,24.261382541532207,6.976180118023478e-07,1.0720063448029412e-05,True,True
Splat_352,12.793817845456529,0.0022432318220159,0.0112013989374032,True,12.66389550978844,0.0016010556051375,0.0092260829246052,True,True
MSN_221,9.5680089872884,0.0022597182238145,0.0112013989374032,True,4.1640103338205705,0.0588613358055684,0.1675004679405372,False,False
DLIT_148,16.05672428503088,0.0023282428741877,0.0113310102623802,True,15.91911776467206,0.0029979548122218,0.0153681927491163,True,True
DLNP_88,13.21458006445623,0.0023350238067811,0.0113310102623802,True,13.283979333420255,0.0015837282866468,0.0092260829246052,True,True
Splat_403,6.9675219100941606,0.0024958818820854,0.0119854327879313,True,7.614180051535438,0.001345988523016,0.0079986968221944,True,True
CA13_185,12.44250089391279,0.00266780644594,0.0126789564080241,True,16.316443542829607,0.0003365904999009,0.0023510336432477,True,True
ULIT_124,10.000397992484976,0.0030735975276648,0.0144584536760562,True,7.394700840266111,0.0085678831306469,0.0368364708034786,True,True
Thex_454,13.31579662186363,0.0034529316650659,0.0159864604741051,True,15.193697241516544,0.0007077241266728,0.0044693263341943,True,True
MGE_245,10.505568258684807,0.0034677788447082,0.0159864604741051,True,10.728520365233877,0.000970639247438,0.0059661959075856,True,True
LLC_265,11.885695766338154,0.0035855684246388,0.0163658123144407,True,10.63255689032512,0.0037343565315715,0.0187123734897224,True,True
LLC_268,12.32201853165299,0.00377793605824,0.0170747894396928,True,16.696351845174554,8.399131751735123e-05,0.0006914285245624,True,True
EMSN_226,15.710411167860958,0.0039790940463909,0.017809343256177,True,-0.8571605457456314,0.722674435767767,0.9395825514243816,False,False
LLC_272,4.390562882332844,0.0041511748661243,0.0184008808969551,True,4.331134063348118,0.0042094815001667,0.0206443720380518,True,True
CGE_279,8.296904268027998,0.0044994316086733,0.0197546473485564,True,0.2117845038776275,0.4370919466225382,0.7020884578152966,False,False
Amex_405,15.284087055499551,0.0046758231406455,0.0203354195079017,True,0.5942973471526402,0.3960657173981632,0.6586777063817266,False,False
MSN_427,8.748379822805317,0.004899811893522,0.0211104045132118,True,18.50097309488103,0.000141527382051,0.0011058325953483,True,True
CGE_277,8.227248553558942,0.0049932946687704,0.0213139707620662,True,11.05071471323465,0.000172219439835,0.0013015272420319,True,True
Splat_393,11.792892837556549,0.0055026406826135,0.0232726362815122,True,11.417614002204614,0.0058713788442937,0.0273404610830245,True,True
