cell_type,expr_beta,expr_fdr,expr_logp,atac_beta,atac_fdr,atac_logp,class,subclass
Micro-PVM_2_1-SEAAD,-0.5855198287669293,0.9999998526386172,0.002419720634049669,-3.761890370887627,0.9999999999187467,0.008240545468552168,Non-neuronal,Micro-PVM_2
Micro-PVM_2_3-SEAAD,-0.6308528188482848,0.9999998526386172,0.013080339900016951,-4.191693439088609,0.9999999999187467,0.0049213543536155,Non-neuronal,Micro-PVM_2
Micro-PVM_3-SEAAD,-0.87657082542322,0.9999998526386172,0.0022286907950087058,-4.839980164444336,0.9999999999187467,0.0014608232923831895,Non-neuronal,Micro-PVM
OPC_1,0.0724589996693665,0.6516511830599189,0.34498177381931266,-3.2651073717219403,0.9999999999187467,0.040642275894948274,Non-neuronal,OPC
OPC_2,-0.6586553648814047,0.9765153438271716,0.053619810317949844,-2.4177574771274646,0.9999999999187467,0.08404914046632427,Non-neuronal,OPC
OPC_2_1-SEAAD,0.5237232653059941,0.3960170348838121,0.6305216805418423,-5.130258057318217,0.9999999999187467,0.012067936632688906,Non-neuronal,OPC_2
OPC_2_2-SEAAD,-0.0511591307855488,0.7389269013625932,0.2681190893909018,-1.2611059532337685,0.9999999999187467,0.16766256658938378,Non-neuronal,OPC_2
Oligo_1,-0.3487299464827865,0.906815152933922,0.12250904298833304,1.5713895748686724,0.37464305100888945,0.7181387699498455,Non-neuronal,Oligo
Oligo_2,0.0385017252152166,0.6708107870230636,0.3278492964217202,2.621692213472277,0.15375355443833177,1.1500096617895146,Non-neuronal,Oligo
Oligo_2_1-SEAAD,0.8746780294390804,0.197272590540515,1.0287404628383274,-0.8202189286297458,0.9999999999187467,0.17217324739630155,Non-neuronal,Oligo_2
Oligo_3,0.1683870951566436,0.5951772087551971,0.3982864474836583,5.73006359939661,0.0033749485866318776,3.183383874842774,Non-neuronal,Oligo
Oligo_4,-0.2463182552365026,0.8167487020568095,0.17930913538451904,3.0178607426309965,0.10702509551517034,1.342677164516789,Non-neuronal,Oligo
Pax6_1,2.9713615815092123,0.0054987964099144,3.0540302458826405,16.440361967940436,0.0007573543726781064,4.148451105825358,GABAergic,Pax6
Pax6_2,4.032618994904708,2.8823306034930773e-05,5.898825523834643,14.307671663383758,0.00301820228628194,3.28305521479545,GABAergic,Pax6
Pax6_3,3.7670770930632114,0.0005133437526256,4.39188900018212,9.26877252058438,0.04352774838887411,1.823007360402443,GABAergic,Pax6
Pax6_4,5.234487001690417,1.2994045864078709e-05,6.721946176164726,9.609669993664385,0.04203112022241507,1.8563437131303284,GABAergic,Pax6
Pvalb_1,2.1400509887067196,0.0208151717646974,2.2620380673972873,9.552558233375649,0.037203155217255764,1.9192225123136786,GABAergic,Pvalb
Pvalb_10,4.2046197521607,0.0097440972459072,2.7060838595557315,11.293072500768208,0.019583638704098866,2.2713378153380543,GABAergic,Pvalb
Pvalb_12,4.936290453510455,0.0005133437526256,4.384919600955594,15.416078574836034,0.0007573543726781064,4.183122109142262,GABAergic,Pvalb
Pvalb_13,3.4152127469486904,0.001492570627509,3.816657640647321,14.524123918051997,0.0023937951174181375,3.4215051426106453,GABAergic,Pvalb
Pvalb_14,1.125554647677978,0.1375834666303792,1.2468928979565208,10.054959163086284,0.02271936412919963,2.180738275073637,GABAergic,Pvalb
Pvalb_15,0.2628725105716435,0.5239367769041535,0.45840029071079225,17.40109792133322,0.0003209083465104068,4.676246578952741,GABAergic,Pvalb
Pvalb_2,2.162629314962067,0.0228628873093656,2.1755295001041444,15.454437163207068,0.0010154631910674408,3.9322306320592393,GABAergic,Pvalb
Pvalb_3,5.497087894014978,0.0011707672452629,3.9543066512421925,12.436746133218973,0.006836798405344988,2.8030120477584517,GABAergic,Pvalb
