gene,gwas_zstat,gwas_p,upper_sst_spec,deep_sst_spec,total_sst_spec,upper_fraction,upper_gwas_score,is_scz_gwas
CPA3,1.8815,0.029953,0.19276247500000002,0.024628167,0.217390642,0.886710086628292,0.3626825967125,False
MSRA,5.893,1.8961e-09,0.0615438026,0.0618681532,0.1346332389,0.45712190468590147,0.3626776287218,True
GULP1,2.9986,0.0013559,0.12063071671,0.10293297488,0.25510401259000004,0.47286875453376803,0.361723267126606,False
GIGYF2,7.2996,1.4435e-13,0.0495108065,0.0659293598,0.12980906729999997,0.381412543282329,0.3614090831274,True
AMPD1,3.9506,3.8983e-05,0.0914788133,0.061974834,0.1534536473,0.5961331966333785,0.36139619982298005,False
NDUFA13,7.2838,1.6231e-13,0.049599079799999994,0.0636395659,0.12674860100000002,0.3913185582221928,0.36126977744724,False
CCDC63,3.5856,0.00016818,0.10056429799999998,0.1005689001,0.2074976041,0.48465281532376003,0.36058334690879995,False
MPHOSPH9,7.4431,4.9188e-14,0.0483998322,0.0649314649,0.12641784209999998,0.38285602250443734,0.36024479104782003,True
PCDHA11,5.2593,7.2302e-08,0.0683277694,0.11934878650000001,0.20004325290000002,0.3415649786206811,0.35935623760541996,True
GRIN2A,4.8485,6.221e-07,0.07385375300000001,0.0577421982,0.1569912252,0.47043236273819466,0.3580799214205,True
SFMBT1,7.6704,8.5725e-15,0.04663664000000001,0.0512420352,0.11062412719999999,0.4215774730198279,0.35772168345600003,False
PBRM1,7.1634,3.9356e-13,0.04993493110000001,0.06003988419999999,0.1237449617,0.4035310239220835,0.3577038854417401,True
PCDHA10,5.1592,1.24e-07,0.069244877,0.09587503,0.1867959,0.37069805600658257,0.3572481694184,True
SNAP91,5.6043,1.0453e-08,0.063689044,0.08033143750000002,0.1624409965,0.392074940269158,0.3569325092892,True
PITPNM2,6.9347,2.0361e-12,0.0513356343,0.07391017159999999,0.14021459090000002,0.3661219133507453,0.35599722318021004,True
TMTC1,3.9865,3.3526e-05,0.089297302,0.162324005,0.290250349,0.30765613997590746,0.355983694423,False
LRRC4,4.9211,4.3038e-07,0.07229898800000001,0.0582016792,0.1429226589,0.5058609219591003,0.35579054984680003,False
CRYBG3,2.1167,0.017143,0.16784030200000002,0.02808504244,0.23973595444000004,0.7001048398937852,0.35526756724340003,False
FXR1,6.6438,1.5285e-11,0.0534631159,0.06895755549999999,0.1381635541,0.3869552737569596,0.35519824941642,True
SLC8A1,4.4503,4.2881e-06,0.07978031199999999,0.10003361,0.19591832500000003,0.40721209718386464,0.3550463224936,False
AMBRA1,7.0365,9.8549e-13,0.0504352446,0.069437512,0.13518472620000002,0.3730838979943874,0.3548875986279,True
INO80E,7.2671,1.8369e-13,0.048731508,0.054595175999999995,0.11533047329999999,0.4225380040992167,0.3541367417868,True
KIF26B,2.0855,0.018511,0.16961879,0.1368345687,0.3397968577,0.49917704109480937,0.353739986545,False
TYW5,6.8871,2.8477e-12,0.051294767399999996,0.06087536439999999,0.1268566122,0.4043523353684515,0.35327219256054,False
PDCL2,1.6183,0.052796,0.21730048100000002,0.3727432035000001,0.6753522917,0.32175870826322395,0.35165736840230005,False
YPEL4,5.4818,2.1047e-08,0.0641446034,0.08341303859999999,0.165516845,0.38754124028886605,0.35162788691811997,False
TMEM178B,4.6996,1.3032e-06,0.07476215150000001,0.08873945200000001,0.1823819435,0.4099207962437357,0.3513522071894001,False
SHISA6,2.7381,0.0030901,0.12790867950000004,0.1695852675,0.33367058599999994,0.3833381930165102,0.35022675533895015,False
COQ10B,7.1568,4.1295e-13,0.048885880099999994,0.0624591452,0.12483922330000001,0.3915907100969603,0.3498664666996799,True
GFRA4,2.9449,0.0016155,0.11873846219999999,0.0777389378,0.20361164900000003,0.5831614388624689,0.34967289733278,False
DNAH10,4.1309,1.8065e-05,0.084472185,0.0626266743,0.18925568130000003,0.4463389654659735,0.3489461490165,True
