gene,spearman_rho,pval,n_expressing,pval_fdr,abs_rho
TBC1D1,0.22543682590515787,0.008819443340398941,114,0.21644569271628925,0.22543682590515787
LOC101929006,0.22535319345501714,0.008845262689807844,33,0.21686051802300058,0.22535319345501714
POGLUT1,-0.22530009821743338,0.008861689088089668,84,0.21704445147173096,0.22530009821743338
LOC101927345,-0.22525183916614655,0.0088766426496796,62,0.21719197774935367,0.22525183916614655
DNAAF5,-0.22517835209858597,0.008899456170835937,85,0.21744163420369064,0.22517835209858597
IKZF5,-0.2251393124380219,0.008911596791938394,82,0.21744163420369064,0.2251393124380219
LOC101928674,-0.22513265824132372,0.008913667583614143,19,0.21744163420369064,0.22513265824132372
YLPM1,-0.22510318348085037,0.008922845264125193,129,0.2174474144977844,0.22510318348085037
LOC105370996,-0.22494143240874392,0.008973359056376872,45,0.2183728767541029,0.22494143240874392
SRSF10,-0.22492412586035626,0.008978778699646516,131,0.2183728767541029,0.22492412586035626
ESR1,-0.22482371709418894,0.009010279325511447,84,0.21892008339237154,0.22482371709418894
QRICH2,-0.22469400389809,0.009051117845333025,73,0.21956923235465745,0.22469400389809
PCCB,0.22468153269696226,0.009055052837125176,113,0.21956923235465745,0.22468153269696226
LOC105374825,-0.22460442898425528,0.009079414628179865,24,0.21994068045016182,0.22460442898425528
PSMD9,-0.22452977778679578,0.009103056616751284,101,0.22029397012538107,0.22452977778679578
TAP2,0.22442681820213237,0.009135752987603553,66,0.22086545567744137,0.22442681820213237
LOC105373645,-0.22412395897777668,0.009232532058200618,26,0.22250941610127903,0.22412395897777668
KIAA1462,-0.22412287040274734,0.009232881538887265,45,0.22250941610127903,0.22412287040274734
LOC102724698,-0.22411634488549403,0.009234976762961613,10,0.22250941610127903,0.22411634488549403
BEND6,0.22409962144198467,0.00924034826949105,115,0.22250941610127903,0.22409962144198467
LOC101929278,0.2240687056457975,0.009250285563701274,18,0.22252838298197694,0.2240687056457975
PLCL2,-0.22401397287819919,0.009267901491486626,124,0.22273184997474926,0.22401397287819919
GRK5,0.2239180902041533,0.00929883299699577,106,0.22305551616105154,0.2239180902041533
LOC105372481,0.22389062724087833,0.009307709238123574,122,0.22305551616105154,0.22389062724087833
SDC2,0.22387967924862034,0.009311249796431808,105,0.22305551616105154,0.22387967924862034
TRPM1,-0.22385864816756454,0.009318054538038254,60,0.22305551616105154,0.22385864816756454
LOC105378948,-0.22379918747550825,0.009337317164774091,13,0.22329684440950903,0.22379918747550825
C1orf50,0.223696897098012,0.009370536898087678,88,0.22356736088248771,0.223696897098012
HYMAI,-0.22365916564681623,0.009382816819779177,29,0.22356736088248771,0.22365916564681623
LOC101929268,-0.22365888378467685,0.009382908606840738,34,0.22356736088248771,0.22365888378467685
LOC105375402,-0.22360732541949285,0.009399711668283904,10,0.22356736088248771,0.22360732541949285
CLEC4GP1,0.2236030125726231,0.009401118442935865,25,0.22356736088248771,0.2236030125726231
JAG2,-0.22359484473048313,0.009403783157879403,52,0.22356736088248771,0.22359484473048313
AR,-0.22345887315953789,0.009448241096086905,40,0.22440495283000939,0.22345887315953789
NPPA-AS1,-0.22336900946431298,0.009477724991866093,23,0.2248856092948051,0.22336900946431298
UNC5D,-0.22326373951315157,0.009512366761217403,121,0.22534684196118032,0.22326373951315157
LOC105379011,-0.2232536448346884,0.009515694531233592,99,0.22534684196118032,0.2232536448346884
STMN4,-0.22321863718704532,0.009527242960190009,123,0.22535687276773514,0.22321863718704532
UBE2L1,0.22319620341040058,0.009534649976481208,35,0.22535687276773514,0.22319620341040058
TEX26,-0.22309210450860686,0.009569087043167179,22,0.22595122910375626,0.22309210450860686
LYPD6B,-0.2230135742425721,0.009595138224930405,47,0.22634661180265025,0.2230135742425721
ZC3H12C,-0.2229745947658987,0.009608092253069333,103,0.2264325694640497,0.2229745947658987
PPIP5K1,-0.22291752168660833,0.00962708712501209,113,0.22666058660931174,0.22291752168660833
LOC105371130,-0.22285299821062377,0.009648601464476146,81,0.22694742380805064,0.22285299821062377
LOC105373215,0.22280235178632712,0.009665518389786663,20,0.2271256741623202,0.22280235178632712
FAM162A,0.22265427145258165,0.009715130228530737,89,0.22807112189970663,0.22265427145258165
NIPA1,-0.2225741250816891,0.009742075403969423,132,0.2284831397299328,0.2225741250816891
LOC100631378,-0.22238914732262663,0.009804516346192524,35,0.22972605207682886,0.22238914732262663
CEP112,-0.222230541293655,0.009858335735932762,124,0.2307171559875826,0.222230541293655
STARD4,0.2221279378860652,0.009893290355046406,90,0.2307171559875826,0.2221279378860652
RNASEH2C,0.22212037279264785,0.009895871923753753,98,0.2307171559875826,0.22212037279264785
TM7SF2,-0.22210939667372095,0.009899618551017692,69,0.2307171559875826,0.22210939667372095
FDPS,-0.22210797555721076,0.009900103731289234,113,0.2307171559875826,0.22210797555721076
COL15A1,-0.2220973447234277,0.009903733845279233,32,0.2307171559875826,0.2220973447234277
TACC2,-0.22205211361913266,0.0099191920317648,114,0.23079837259694644,0.22205211361913266
FAM76A,-0.22200648592145278,0.009934807283117453,88,0.23079837259694644,0.22200648592145278
COX1,0.22198558833118456,0.009941966329161953,132,0.23079837259694644,0.22198558833118456
SIRT6,0.22197621517924532,0.009945178836462312,74,0.23079837259694644,0.22197621517924532
MYRIP,0.22182666022834402,0.00999656034809067,121,0.23176963224586578,0.22182666022834402
STAG3L1,-0.22175719626903767,0.010020504970129093,68,0.23210352512239016,0.22175719626903767
GCM1,-0.2216961028458259,0.0100416059424533,40,0.23237097823635272,0.2216961028458259
ZSCAN31,0.22160132270797572,0.010074419347449827,80,0.23283939617160063,0.22160132270797572
CNKSR3,-0.2215457314200108,0.010093709244507598,54,0.23283939617160063,0.2215457314200108
LOC105375434,0.2215333115678984,0.010098023311462607,70,0.23283939617160063,0.2215333115678984
YARS,-0.2215272126341654,0.010100142385635403,126,0.23283939617160063,0.2215272126341654
PEG10,0.22149005758782475,0.010113060362652733,66,0.23291642147734576,0.22149005758782475
LOC105371093,-0.22146170957055542,0.010122926111837944,33,0.23292307092337808,0.22146170957055542
LOC105373734,-0.2213384864719435,0.010165909043429195,26,0.23351886562627797,0.2213384864719435
FGF9,0.2213324390599577,0.010168022642910586,95,0.23351886562627797,0.2213324390599577
LOC101927620,0.22119392537412186,0.010216539837300124,22,0.23402334862271373,0.22119392537412186
LOC105376195,-0.2211834130988876,0.010220230276152988,24,0.23402334862271373,0.2211834130988876
SNN,0.22114259425995195,0.010234571259619706,77,0.23402334862271373,0.22114259425995195
NUGGC,-0.2211369243014836,0.010236564700190158,25,0.23402334862271373,0.2211369243014836
LOC101927870,-0.2211325565979714,0.010238100527715448,26,0.23402334862271373,0.2211325565979714
LOC100129620,0.22094895435871176,0.010302844772210384,85,0.23528214807974532,0.22094895435871176
LOC105374716,-0.22084556782608367,0.01033946060457085,12,0.23589683054762442,0.22084556782608367
WBP4,0.22079360008043708,0.01035790893019256,117,0.23609625406861595,0.22079360008043708
TMEM120B,-0.220698056199095,0.010391902167357116,119,0.2365077144316605,0.220698056199095
TAP1,0.2205673567011088,0.010438562228129897,69,0.2365077144316605,0.2205673567011088
SBF1P1,0.22056211097523426,0.0104404388061135,11,0.2365077144316605,0.22056211097523426
POLR2J2,-0.22056175753699528,0.010440565253892031,108,0.2365077144316605,0.22056175753699528
MIR7-3HG,-0.2205570044501279,0.01044226587216564,37,0.2365077144316605,0.2205570044501279
RFX8,-0.22054596086010858,0.010446218125251747,67,0.2365077144316605,0.22054596086010858
NDNL2,-0.22053903476316433,0.010448697491205979,72,0.2365077144316605,0.22053903476316433
LYPD1,-0.22052490908969874,0.010453755726081782,30,0.2365077144316605,0.22052490908969874
RRP12,-0.22047582783492753,0.010471347882959964,105,0.23668555005712757,0.22047582783492753
MYO16,-0.22040502138313486,0.010496772859712745,93,0.23703993753117333,0.22040502138313486
GPC1,-0.22036888755487208,0.010509768600095492,101,0.23711324872256256,0.22036888755487208
