gene,spearman_rho,pval,pval_fdr,abs_rho
STX12,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
AP001033.3,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
RIMBP2,0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
NKX2-8,-0.7703915062297477,0.00047941953922749834,0.05450747834943378,0.7703915062297477
PTGER4,-0.7702350498942263,0.0004814933293684819,0.054551847382961254,0.7702350498942263
DSC1,-0.7689099841023829,0.0004993549683638803,0.055828589459202556,0.7689099841023829
AL133492.1,-0.7681214124093148,0.0005102413553694631,0.055828589459202556,0.7681214124093148
ZHX2,0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
TTC39C,0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
NPAS1,-0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
PRR16,-0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
RHOA,-0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
ZNF426,-0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
ILRUN,0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
OVGP1,0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
NAPB,-0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
CCPG1,-0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
ZNF440,-0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
TMEM132C,0.7676470588235293,0.0005168835242959222,0.055828589459202556,0.7676470588235293
AC018557.2,0.767428461975018,0.0005199683193615972,0.05597519419360078,0.767428461975018
LINC00710,-0.7667404577611014,0.0005297764091723554,0.056654603915550605,0.7667404577611014
AL445123.2,-0.7667404577611014,0.0005297764091723554,0.056654603915550605,0.7667404577611014
AL133383.1,-0.7655501495419801,0.0005471048628714096,0.05702890240893582,0.7655501495419801
NSUN6,-0.7647058823529411,0.0005596762943567444,0.05702890240893582,0.7647058823529411
N4BP2L1,0.7647058823529411,0.0005596762943567444,0.05702890240893582,0.7647058823529411
PRXL2B,-0.7647058823529411,0.0005596762943567444,0.05702890240893582,0.7647058823529411
BCAN,0.7647058823529411,0.0005596762943567444,0.05702890240893582,0.7647058823529411
TTPAL,-0.7647058823529411,0.0005596762943567444,0.05702890240893582,0.7647058823529411
TFAP2E,0.7647058823529411,0.0005596762943567444,0.05702890240893582,0.7647058823529411
NT5DC3,-0.7647058823529411,0.0005596762943567444,0.05702890240893582,0.7647058823529411
GAS1RR,0.7647058823529411,0.0005596762943567444,0.05702890240893582,0.7647058823529411
CCDC90B,-0.7647058823529411,0.0005596762943567444,0.05702890240893582,0.7647058823529411
