cell_type,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source,supercluster
DLNP_93,20.13275574328459,5.6408614846069405,3.569092380343648,0.0001796073716893,16870,0.0903425079597262,0.0014340080628527,Siletti,Deep-layer near-projecting
MGE_249,18.076522814427065,5.077650692730385,3.560017005562635,0.0001859253360265,16870,0.0935204440213652,0.0014612569378338,Siletti,MGE interneuron
Lamp5_6,16.64286825749204,4.70097793086611,3.540299168012846,0.0002003751589366,16870,0.100788704945146,0.0015505954606945,SEA-AD,
Sst_13,11.945960173757769,3.378833608754586,3.5355278054550205,0.0002040260788171,16870,0.102625117645051,0.001554926024925,SEA-AD,
Chandelier_2,13.066679501649984,3.70163818955056,3.5299720914205546,0.000208355441804,16870,0.1048027872274556,0.0015642207048873,SEA-AD,
Lamp5_4,11.667897275851445,3.340563989490174,3.4927926279993686,0.0002396109012715,16870,0.1205242833395939,0.0017724159314646,SEA-AD,
Vip_14,12.738136215007335,3.683919237934109,3.4577675003946906,0.0002730073856608,16870,0.1373227149873966,0.0019901842751796,SEA-AD,
MSN_207,16.39439731481301,5.00370207950022,3.2764535246771755,0.0005266595316428,16870,0.2649097444163693,0.0037844249202338,Siletti,Medium spiny neuron
L4 IT_2,8.414753273437904,2.6418655936509494,3.185155707262557,0.0007246968545774,16870,0.364522517852449,0.0051341199697528,SEA-AD,
MSN_220,16.186460105419396,5.094604791709748,3.1771767913693703,0.0007449222060263,16870,0.3746958696312789,0.0052041093004344,Siletti,Medium spiny neuron
Midi_435,9.943431308239038,3.202211980415778,3.1051758500222633,0.0009524051525718,16870,0.4790597917436602,0.0064751859329843,Siletti,Midbrain-derived inhibitory
L5 IT_6,14.64852453766018,4.71755166338649,3.1051116305411592,0.0009526118469996,16870,0.4791637590408414,0.0064751859329843,SEA-AD,
Splat_390,15.903655782715925,5.172773819455876,3.0744927842966905,0.0010559885786027,16870,0.5311622550372006,0.007082163400496,Siletti,Splatter
Lamp5_Lhx6_1,14.102523653286886,4.593727238433835,3.0699523331069476,0.0010721657352745,16870,0.5392993648431124,0.0070960442742514,SEA-AD,
Splat_425,16.401116009482045,5.361721090536286,3.058927484764334,0.0011123963592138,16870,0.5595353686845899,0.0072666930997998,Siletti,Splatter
Pvalb_7,13.610421323380034,4.532350892828122,3.00294960500892,0.0013388431691386,16870,0.6734381140767568,0.008633821975343,SEA-AD,
MSN_206,10.386023901584684,3.4672397930451666,2.995473206790514,0.0013720870116558,16870,0.6901597668628721,0.0087361995805426,Siletti,Medium spiny neuron
Thex_454,15.835287044398674,5.3405824638195165,2.9650861402622137,0.0015151084119405,16870,0.7620995312061117,0.0095262441400763,Siletti,Thalamic excitatory
CBI_306,10.71307791689402,3.63270929544574,2.9490600666353366,0.001595896936593,16870,0.8027361591062845,0.0098427642446762,Siletti,Cerebellar inhibitory
Sncg_2,9.164387469109474,3.1093327325775046,2.9473807589297745,0.0016045858211997,16870,0.8071066680634547,0.0098427642446762,SEA-AD,
Splat_403,9.085669162336185,3.086611015969054,2.943574397722967,0.0016244400968697,16870,0.8170933687255068,0.0098444984183796,Siletti,Splatter
DLIT_140,13.895341778704603,4.825565709044995,2.8795259699104925,0.0019938730184336,16870,1.0,0.0119395015270492,Siletti,Deep-layer intratelencephalic
L5 IT_7,16.50942184768067,5.767274921956487,2.8626035816028037,0.0021034669354552,16870,1.0,0.0124475749239294,SEA-AD,
MSN_427,12.732864014918745,4.482175016854593,2.840777963162658,0.0022528772979237,16870,1.0,0.013065486916685,Siletti,Medium spiny neuron
Vip_23,10.490450371579085,3.694088764015457,2.8397938007791717,0.0022598357092477,16870,1.0,0.013065486916685,SEA-AD,
Lamp5_2,7.513086070357137,2.683696609524748,2.7995288452846463,0.0025617697479055,16870,1.0,0.0146428429908692,SEA-AD,
Sst_22,14.464389316910674,5.174595707691318,2.7952694536911102,0.0025957536838354,16870,1.0,0.0146703831794296,SEA-AD,
Thex_450,10.30129341018737,3.70149242121718,2.783010806976053,0.0026958457854773,16870,1.0,0.0150667825566121,Siletti,Thalamic excitatory
Splat_355,17.271263383448506,6.292483307032275,2.744745204829817,0.003031098802843,16870,1.0,0.0167543153607696,Siletti,Splatter
EMSN_225,9.85532546945839,3.612506864157977,2.7281125932906773,0.0031881904521233,16870,1.0,0.017431084754544,Siletti,Eccentric medium spiny neuron
LLC_268,12.24260845701781,4.505000857838069,2.717559628366639,0.0032916225216929,16870,1.0,0.0178030766495863,Siletti,LAMP5-LHX6 and Chandelier
Vip_18,7.19655944345257,2.6697200112579544,2.6956232912460356,0.0035163374528623,16870,1.0,0.0188161461573381,SEA-AD,
Splat_352,11.419417144388136,4.248295427104128,2.6879997731636665,0.0035976006801957,16870,1.0,0.0190483488646154,Siletti,Splatter
Vip_4,10.70044005383713,4.019291039768662,2.662270521831386,0.0038844545556604,16870,1.0,0.0203529233489292,SEA-AD,
Sst_10,8.243906135672555,3.2055059120788134,2.571795642181883,0.0050628714396213,16870,1.0,0.0262538591147375,SEA-AD,
Midi_434,11.64600041557281,4.53902554673042,2.5657490348257093,0.0051519449341571,16870,1.0,0.0264431459375617,Siletti,Midbrain-derived inhibitory
L5 IT_3,10.286169292258815,4.055934349690523,2.5360788428549577,0.0056095471896534,16870,1.0,0.0282170199633078,SEA-AD,
Splat_389,8.395100466886328,3.3102840988581197,2.536066457190853,0.0056097455195442,16870,1.0,0.0282170199633078,Siletti,Splatter
L2/3 IT_6,11.514063355597294,4.571288022840796,2.518778798900087,0.0058927165804117,16870,1.0,0.0293468954450211,SEA-AD,
EMSN_231,9.512083217360876,3.802897541354834,2.5012725465046493,0.0061920968944048,16870,1.0,0.0305355366459374,Siletti,Eccentric medium spiny neuron
Vip_19,5.457757228958581,2.187477693922888,2.4950001749142294,0.0063025967918077,16870,1.0,0.0307787008376632,SEA-AD,
Midi_437,12.23401675796572,4.913952303989159,2.4896490647729963,0.0063982432701431,16870,1.0,0.0309453496623269,Siletti,Midbrain-derived inhibitory
L5/6 NP_2,10.341072346812862,4.257005608793646,2.429189269906394,0.0075715020309647,16870,1.0,0.0362711002054789,SEA-AD,
CBI_307,8.09711030905165,3.347874380517462,2.4185824761441994,0.0077958157336044,16870,1.0,0.0366048255104557,Siletti,Cerebellar inhibitory
CA13_185,11.806878817656685,4.88254145935221,2.41818301307843,0.0078043767079407,16870,1.0,0.0366048255104557,Siletti,Hippocampal CA1-3
