supertype,comp_beta,se_y,comp_zval,comp_pval,comp_padj,abs_comp_beta,comp_logp,is_sst
L5 IT_3,-0.0098864849340251,0.0584138289044581,-0.16924904803271,0.865600751478323,0.961919380354394,0.0098864849340251,0.0626823752010602,False
Sst_11,-0.131932494421812,0.0767263892528842,-1.71951913424431,0.085519886608411,0.405289897405078,0.131932494421812,1.0679328836338673,True
Chandelier_1,-0.0241245868862856,0.0473058102000872,-0.509970905989072,0.610071844737743,0.81582568961815,0.0241245868862856,0.2146190175534058,False
L6 IT_2,0.116559398604049,0.0776485279248144,1.50111536843185,0.13332572447658,0.499604933085498,0.116559398604049,0.8750860477326454,False
Sst_7,0.0150039041691,0.0660530061246496,0.227149452377472,0.820307531462136,0.961919380354394,0.0150039041691,0.08602330105730528,True
Lamp5_2,0.0488169317946478,0.0405286456094816,1.20450439585445,0.228394684050607,0.552868160375212,0.0488169317946478,0.6413140086326472,False
Vip_11,-0.024353106073928,0.0544894798102726,-0.446932254789791,0.654923974353508,0.839843684759205,0.024353106073928,0.183809111359468,False
Vip_23,-0.0011319693886932,0.0420144085596279,-0.0269424092234139,0.978505668113588,0.995669874819086,0.0011319693886932,0.009436654294866698,False
Vip_13,-0.0514919712288365,0.0629936005588751,-0.817415908473292,0.41369078744768,0.704567122371831,0.0514919712288365,0.383324150376389,False
Sncg_1,0.0135991464519112,0.0672549473249945,0.202202915812221,0.839758093724818,0.961919380354394,0.0135991464519112,0.0758458016654144,False
L5/6 NP_6,0.123664118433929,0.0753219707519375,1.64180672915741,0.100630064064175,0.457028207624796,0.123664118433929,0.9972722508249388,False
L6b_5,0.0554107958035253,0.075347749807879,0.735400804202,0.462095432226026,0.725161804665052,0.0554107958035253,0.33526832442402626,False
L5/6 NP_3,0.0260923337813876,0.0798497806541309,0.326767757752603,0.743843547461722,0.910999400823907,0.0260923337813876,0.12851839996371872,False
L6 CT_4,0.120581929143985,0.0871666570840619,1.3833492435955,0.166557805585274,0.512977103115637,0.120581929143985,0.7784350096664194,False
