# MEAN_SAMPLE_SIZE = 57475
# TOTAL_GENES = 15956
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type342      COVAR   15956        5.566     0.015828       3.2057     0.041269
Type343      COVAR   15956       3.3085    0.0094773       3.0795      0.14134
Type344      COVAR   15956       11.903     0.024554       4.5537    0.0044795
Type345      COVAR   15956       12.121     0.024807        4.288    0.0023544
Type346      COVAR   15956       16.933      0.03057       5.1512   0.00050743
Type347      COVAR   15956       15.991     0.028597       5.3131    0.0013098
Type348      COVAR   15956       2.0321    0.0048241       4.0322      0.30714
Type349      COVAR   15956       16.663     0.028761       5.5116    0.0012526
Type350      COVAR   15956       11.979     0.027418       4.3051    0.0027005
Type351      COVAR   15956        9.257     0.025288       3.4766    0.0038815
Type352      COVAR   15956       5.5201     0.015309       3.5553     0.060265
Type353      COVAR   15956     -0.63619   -0.0023539         2.57      0.59775
Type354      COVAR   15956      0.10783   0.00059676       1.5874      0.47292
Type355      COVAR   15956       5.5727    0.0096088       5.5588      0.15806
Type356      COVAR   15956      -5.2756    -0.013315       3.7844      0.91833
Type357      COVAR   15956      -1.8801    -0.004472       4.1764       0.6737
Type358      COVAR   15956     -0.60228   -0.0012303       4.6773      0.55123
Type359      COVAR   15956      -0.5814   -0.0011277       4.8631      0.54758
Type360      COVAR   15956        1.747    0.0032852       5.1184      0.36644
Type361      COVAR   15956       1.8016    0.0033011       5.1128      0.36229
Type362      COVAR   15956       1.5239    0.0038703       3.6329      0.33744
Type363      COVAR   15956       7.1418     0.012354       5.4887      0.09661
Type364      COVAR   15956       12.352     0.021453       5.5949     0.013642
Type365      COVAR   15956       14.632     0.023789       6.0554    0.0078446
Type366      COVAR   15956       9.7499      0.01655       5.7592     0.045247
Type367      COVAR   15956       13.732     0.020752        6.397     0.015922
Type368      COVAR   15956       22.864     0.034218       6.2109    0.0001165
Type369      COVAR   15956       22.823     0.030577       7.1953    0.0007591
Type370      COVAR   15956       11.978     0.018473        6.262     0.027895
Type371      COVAR   15956       19.347     0.030022       5.7987   0.00042557
Type372      COVAR   15956       19.368     0.028057       6.6157    0.0017109
Type373      COVAR   15956       6.4468     0.012275       4.9974     0.098529
Type374      COVAR   15956        4.073     0.012444       3.1952      0.10121
Type375      COVAR   15956      -2.8063   -0.0073028       3.7303      0.77406
Type376      COVAR   15956      -7.2649    -0.016242       4.3152      0.95385
Type377      COVAR   15956      -2.9266   -0.0066522       3.9767      0.76911
Type378      COVAR   15956       2.9454    0.0072259       3.9808      0.22969
Type379      COVAR   15956       8.1839     0.013234       5.6676     0.074383
Type380      COVAR   15956       2.6856    0.0056138       4.1687      0.25972
Type381      COVAR   15956       6.7544     0.013803       4.4726     0.065511
Type382      COVAR   15956       1.6568    0.0039204       3.9706      0.33825
Type383      COVAR   15956       7.0492     0.017967       4.0364      0.04038
Type384      COVAR   15956       4.7043    0.0092899       4.9218      0.16959
Type385      COVAR   15956       6.2486     0.016718       3.6649     0.044112
Type386      COVAR   15956       6.1726     0.017223       3.7297     0.048977
Type387      COVAR   15956       6.0511     0.011078       5.5975      0.13985
Type388      COVAR   15956       3.5117    0.0092922       4.1499      0.19873
Type389      COVAR   15956       13.379     0.023983       5.6011    0.0084621
