# MEAN_SAMPLE_SIZE = 90909
# TOTAL_GENES = 15981
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type231      COVAR   15981       31.177     0.038987       7.3984   1.2625e-05
Type232      COVAR   15981       8.6106     0.015457       5.0629     0.044509
Type233      COVAR   15981       4.4039    0.0093358          4.7      0.17439
Type234      COVAR   15981       16.715     0.028396       5.2337   0.00070402
Type235      COVAR   15981        13.96     0.023346       5.4264    0.0050518
Type236      COVAR   15981       34.115     0.042162       7.2796    1.404e-06
Type237      COVAR   15981       21.331     0.028609         6.75   0.00079017
Type238      COVAR   15981       24.846     0.032437       7.0148   0.00019927
Type239      COVAR   15981       17.741      0.02416       6.4269      0.00289
Type240      COVAR   15981       20.458     0.028352       6.5671   0.00092113
Type241      COVAR   15981       6.1573    0.0088981       5.9259       0.1494
Type242      COVAR   15981       6.5617     0.012316       4.2412     0.060926
Type243      COVAR   15981       19.045     0.028154       6.0616   0.00084104
Type244      COVAR   15981       12.605     0.021571       5.2972    0.0086733
Type245      COVAR   15981       5.4196    0.0095812       4.9503      0.13681
Type246      COVAR   15981       3.2112    0.0057635       5.0549      0.26263
Type247      COVAR   15981       2.7111    0.0048167       5.0856      0.29699
Type248      COVAR   15981       31.577     0.045818       6.4979   5.9492e-07
Type249      COVAR   15981       28.302     0.038854       6.6474   1.0402e-05
Type250      COVAR   15981       15.162     0.022186       6.1053    0.0065126
Type251      COVAR   15981       15.005     0.021243       6.5138     0.010629
Type252      COVAR   15981       7.6659     0.014733       4.6079     0.048104
Type253      COVAR   15981       11.571     0.017332       6.2221     0.031478
Type254      COVAR   15981       6.7312      0.01308       4.4977     0.067261
Type255      COVAR   15981       11.404     0.018315       5.5233     0.019482
Type256      COVAR   15981       9.5957      0.01458       6.0396     0.056065
Type257      COVAR   15981       11.392     0.020712       4.7669    0.0084347
Type258      COVAR   15981       48.477     0.061716        7.375   2.5536e-11
Type259      COVAR   15981       33.273     0.047121        6.336   7.6647e-08
Type260      COVAR   15981       32.915     0.047799       6.3386   1.0511e-07
Type261      COVAR   15981       15.899     0.029047       5.0386   0.00080302
Type262      COVAR   15981       12.163      0.02146       5.2011    0.0096862
Type263      COVAR   15981       6.9581      0.01478       4.1778     0.047921
Type264      COVAR   15981       6.1382      0.01133       4.7616     0.098692
Type265      COVAR   15981      -1.6859   -0.0038373       3.8889      0.66767
Type266      COVAR   15981       19.393     0.030497       5.6769   0.00031854
Type267      COVAR   15981       3.5168    0.0066132        4.583      0.22144
Type268      COVAR   15981       7.0328     0.010933       5.5751      0.10358
Type269      COVAR   15981       19.048     0.028094       6.1571   0.00099074
Type270      COVAR   15981       8.6512     0.018055        4.378     0.024085
Type271      COVAR   15981     -0.27192  -0.00064334       3.9791      0.52724
Type272      COVAR   15981       10.568     0.019696        4.942      0.01625
Type273      COVAR   15981       3.7805     0.008817       3.9707      0.17053
Type274      COVAR   15981       14.397     0.023927       5.6192    0.0052073
Type275      COVAR   15981       8.6598     0.016673       4.7302     0.033581
Type276      COVAR   15981       12.175     0.022984       4.7654    0.0053161
Type277      COVAR   15981       14.483     0.024223       5.4682    0.0040465
Type278      COVAR   15981       7.3805     0.012523       5.3775     0.084966
Type279      COVAR   15981       16.773      0.02908       5.2031   0.00063427
Type280      COVAR   15981       8.6298     0.021128        3.561    0.0076937
Type281      COVAR   15981       17.228     0.032541       4.6518   0.00010677
Type282      COVAR   15981       27.788     0.039204       6.5504   1.1144e-05
Type283      COVAR   15981       28.353     0.042448       5.9656   1.0135e-06
Type284      COVAR   15981       24.081     0.036931       5.8986   2.2403e-05
Type285      COVAR   15981       7.6095     0.014936         4.53     0.046511
Type286      COVAR   15981       17.985     0.027815       6.0539    0.0014878
Type287      COVAR   15981       21.305     0.039053       4.9902   9.8684e-06
Type288      COVAR   15981        19.87     0.032798       5.6081   0.00019847
Type289      COVAR   15981       15.294     0.024869       5.6134    0.0032246
