,Sst_1,Sst_10,Sst_11,Sst_12,Sst_13,Sst_19,Sst_2,Sst_20,Sst_22,Sst_23,Sst_25,Sst_3,Sst_4,Sst_5,Sst_7,Sst_9
IRF9,0.052716881107813654,0.04758232477899968,0.02780293236030409,0.051263851183576244,0.03485386049214499,0.043730845184732935,0.05717399771597994,0.03982977726504407,0.03293004161771401,0.025215354507502882,0.03108655184529606,0.04548280931105193,0.039080440769049686,0.06105830289710318,0.052919743525634465,0.03650180739195945
REC8,0.059254147305883895,0.04872327692759875,0.06187093034701102,0.036981948995354584,0.041672644624199555,0.030881741982783085,0.039557000338104754,0.04387260851617186,0.06645252785363971,0.035301328334941574,0.04096827343203158,0.03946682465192158,0.06571450302638199,0.05464194254529392,0.03944622015473837,0.03391985959407103
IPO4,0.010580539526300696,0.01260547233011415,0.008398267380427522,0.005708344503368316,0.011226970426391215,0.004889745153360614,0.004694261684824726,0.009711459249549793,0.012740929120505066,0.02632387139221145,0.005909787093790739,0.01147435913731055,0.0076231130965514855,0.01774891042221563,0.012309684326046767,0.007967084510622667
AL136295.17,0.007484938611731367,0.0,0.0032223884084890374,0.001977231998166824,0.0024897050822124123,0.0021498752356035717,0.0043030232284927555,0.0021122618960986482,0.0017551823520968789,0.0028467158809273494,0.0,0.001703300654804055,0.0,0.004219550722177482,0.012988417182015195,0.0016925239189996282
TM9SF1,0.09035975057731792,0.05077702010148016,0.06343021551675915,0.07656615262554796,0.04605468866764532,0.053514707325432495,0.04795819300631324,0.04086171147394818,0.06291828497155205,0.06106498854097924,0.04292096653730388,0.05356376745353694,0.0873991049210929,0.05641292448447518,0.08077008066750092,0.04365298871631015
AL136295.6,0.0,0.002222041302216396,0.0032925468014269573,0.002176970803533984,0.0009787132736914785,0.0034895100593128362,0.0,0.0009735991790203182,0.0017908546577619022,0.0,0.0017358028144983917,0.0023761835915844637,0.0073744993635250985,0.006011160768581082,0.0036327962074524846,0.0
AL136295.7,0.007723221599781988,0.013816761089198203,0.014489328374604187,0.02222140235085894,0.02135448325128467,0.026777020913990493,0.02538643128391303,0.019590999340924842,0.019076058922193845,0.02766674773752658,0.018911300717137456,0.02099393365700741,0.022920727341714568,0.00913710799627565,0.02016342117913389,0.022010767900642426
TSSK4,0.0034737977600037676,0.0,0.0,0.0,0.0018251120445861681,0.0010810544158497768,0.00126586535044102,0.0,0.0,0.0,0.0,0.0010444519193922362,0.0,0.0,0.0,0.0
CHMP4A,0.199213178802132,0.15982658220376383,0.10417504446289584,0.17559906659811017,0.14534365858125167,0.15630088542427772,0.1478053838307415,0.13154059257817188,0.09155664990494258,0.15267360309582104,0.17949997435434709,0.11696341382319735,0.20591104207819685,0.1708569253333101,0.19172568808522136,0.16874964249761085
MDP1,0.16912328100058568,0.09798887212986243,0.0815851798749961,0.09172390745299658,0.08136224619295981,0.11266378299277185,0.08460343650870608,0.07349795996095301,0.04722617362735909,0.06966661464525471,0.051145537291592234,0.06666136743351425,0.11074743536515444,0.1358043753959302,0.10249205378233069,0.08076070434286474
NEDD8,0.3606848531623814,0.40143013094472446,0.27036747433994657,0.25545422956691255,0.3235842977892727,0.32591350130136376,0.32139455645413406,0.2928393988433247,0.19555799771586116,0.2903187046715492,0.26908924326883704,0.2716047091388297,0.33277118119498966,0.32780747532363186,0.4268587567030771,0.3319823381750317
