gene,logFC,logCPM,PValue,F,FDR,n_scz,n_ctrl,n_samples,n_genes_tested,celltype,cell_class
SST,-0.241734159632964,7.831598606867296,0.21088768000523922,1.6572068714051382,0.603214258575813,12,12,24,300,Astro_2,Non-neuronal
GATD3B,-0.15484105258435038,9.88057893266892,0.21112499050153455,1.6553969285842465,0.603214258575813,12,12,24,300,Astro_2,Non-neuronal
LAPTM5,-0.28056818945578466,6.515468816072887,0.21551684248215727,1.6229798191590195,0.6048593025941781,12,12,24,300,Astro_2,Non-neuronal
GATD3A,-0.12539438782062523,10.13862892219459,0.2157331512585902,1.6212627018631964,0.6048593025941781,12,12,24,300,Astro_2,Non-neuronal
MT1E,-0.3462063018348524,8.877483788852462,0.22008758267745335,1.5898493938782776,0.6113543963262593,12,12,24,300,Astro_2,Non-neuronal
CRYM,0.12973500578603966,8.532922842673246,0.22624170472018335,1.5467445595094271,0.6140088685593351,12,12,24,300,Astro_2,Non-neuronal
CAMK2N1,-0.08833591566989009,13.766496490929983,0.22667889552087567,1.5437314450511617,0.6140088685593351,12,12,24,300,Astro_2,Non-neuronal
SSBP1,-0.11453851270368164,10.134641205800785,0.22743550588836853,1.5385486687731453,0.6140088685593351,12,12,24,300,Astro_2,Non-neuronal
CD52,0.300827079069843,1.7840208696367896,0.22922997759548513,1.525798280142862,0.6140088685593351,12,12,24,300,Astro_2,Non-neuronal
ENPP2,-0.203272674944667,7.519786763547026,0.234275511302014,1.4927203998679963,0.6186642455786976,12,12,24,300,Astro_2,Non-neuronal
ERBB4,-0.13858857259692953,10.142583429837508,0.2362771921916449,1.4795443418057803,0.6186642455786976,12,12,24,300,Astro_2,Non-neuronal
AIF1,0.23485730371230015,5.094674974455369,0.23715462747183408,1.4733712117554094,0.6186642455786976,12,12,24,300,Astro_2,Non-neuronal
EVI2A,-0.18938749816136355,5.843184912237121,0.24883944147612208,1.4001555417686495,0.6435502796796261,12,12,24,300,Astro_2,Non-neuronal
NEFL,0.12353933181542044,12.11766929632649,0.25483038465459507,1.364424899575325,0.65341124270409,12,12,24,300,Astro_2,Non-neuronal
EDIL3,0.18451104234996768,8.519137660864171,0.2594614846376767,1.3373726128279741,0.65964784229917806,12,12,24,300,Astro_2,Non-neuronal
PECAM1,0.17868772447945191,5.4328961758431245,0.26633967811707177,1.2980836471150536,0.6701684477251302,12,12,24,300,Astro_2,Non-neuronal
KCNK1,-0.10131314976471066,9.304917032289705,0.26806737909005207,1.288716150139552,0.6701684477251302,12,12,24,300,Astro_2,Non-neuronal
CLDND1,-0.07306078133661485,10.408211541860885,0.2721007195564183,1.2666095323428792,0.6737168837274065,12,12,24,300,Astro_2,Non-neuronal
CTIF,0.10660329550893113,10.092431936164047,0.27397819938247864,1.2564660243675336,0.6737168837274065,12,12,24,300,Astro_2,Non-neuronal
HNRNPH3,-0.09066366974035962,10.462081397636219,0.285546828758405,1.1959245527235383,0.6806985202334632,12,12,24,300,Astro_2,Non-neuronal
LINC02714,-0.2838307517680178,5.165114566452032,0.28586759616237073,1.1937335652206176,0.6806985202334632,12,12,24,300,Astro_2,Non-neuronal
NTRK2,-0.16911293697785332,14.814017156764338,0.2860092229107069,1.1935718468938479,0.6806985202334632,12,12,24,300,Astro_2,Non-neuronal
FLT1,0.13039693234325136,6.832613713894607,0.2875778933390756,1.185695600130805,0.6806985202334632,12,12,24,300,Astro_2,Non-neuronal
ACO1,-0.1460472686609541,10.214700892771795,0.28816237356549945,1.1826863730952024,0.6806985202334632,12,12,24,300,Astro_2,Non-neuronal
GPR34,-0.2798038004158856,4.539564263418589,0.2979128363971338,1.1328261993986453,0.6935828955405257,12,12,24,300,Astro_2,Non-neuronal
CD53,-0.13110169509740904,5.399941868887648,0.3005462585000973,1.1217956934614144,0.6935828955405257,12,12,24,300,Astro_2,Non-neuronal
NUPR1,0.15424323212796395,7.162730477260764,0.3025034659515662,1.1128907082759485,0.6935828955405257,12,12,24,300,Astro_2,Non-neuronal
CALB1,0.1426868658241793,7.446008535294522,0.3053027952951487,1.0997571067608414,0.6935828955405257,12,12,24,300,Astro_2,Non-neuronal
HLA-B,0.1908936375294255,10.254345117201224,0.30552275155251696,1.0987156494620756,0.6935828955405257,12,12,24,300,Astro_2,Non-neuronal
XRRA1,-0.21382513950887608,8.981969707818921,0.30748841702296636,1.0896168526449765,0.6935828955405257,12,12,24,300,Astro_2,Non-neuronal
KIF5A,0.1041554811875513,13.435883530831815,0.3196843438216066,1.0348575257122914,0.7157112175110595,12,12,24,300,Astro_2,Non-neuronal
VGF,-0.1905450865741298,9.252303320218278,0.32506963960068036,1.0115838427713613,0.7223769768904008,12,12,24,300,Astro_2,Non-neuronal
NR4A2,-0.5510970311309554,8.303885406778011,0.3282464814277124,0.9981131666470078,0.722659488343794,12,12,24,300,Astro_2,Non-neuronal
TF,0.10580412818194222,8.96699261150291,0.33001449967699925,0.9906758649959904,0.722659488343794,12,12,24,300,Astro_2,Non-neuronal
EGR1,-0.23778185581506942,7.917305073816762,0.3380256674423061,0.957717814808111,0.7296308112495472,12,12,24,300,Astro_2,Non-neuronal
CLDN5,-0.20222448678724989,6.5379948953055,0.33821347423146186,0.9570122748282023,0.7296308112495472,12,12,24,300,Astro_2,Non-neuronal
CLDN11,-0.16863164898687458,6.7737871745391525,0.34049437858312204,0.9478307240215464,0.7296308112495472,12,12,24,300,Astro_2,Non-neuronal
SOX2-OT,-0.11130100958869306,9.279199236129154,0.34914962059140686,0.9137077163712646,0.7428715331732061,12,12,24,300,Astro_2,Non-neuronal
BDNF,-0.17096604125111434,5.6535502603508725,0.35208374534662,0.9023172487012222,0.7438388986196197,12,12,24,300,Astro_2,Non-neuronal
AJ009632.2,-0.13937434870194973,6.454939137318251,0.3627733314919005,0.8625034285509648,0.7610629331997912,12,12,24,300,Astro_2,Non-neuronal
FILIP1,0.13635735755379996,7.28680598709246,0.3696373527072684,0.8376842743014314,0.766432632774681,12,12,24,300,Astro_2,Non-neuronal
SAMSN1,-0.1904127280024657,4.274074374988405,0.3704424391744291,0.8334698454914578,0.766432632774681,12,12,24,300,Astro_2,Non-neuronal
HIF3A,0.17351565808153857,12.73058038311423,0.37944232222072105,0.8033797911663322,0.7734360615953365,12,12,24,300,Astro_2,Non-neuronal
P2RY13,-0.1890832212558887,4.347199624327585,0.37991726242167256,0.8006548353456189,0.7734360615953365,12,12,24,300,Astro_2,Non-neuronal
