supertype,beta,se,p,dataset,n_donors
L2/3 IT_12,-0.030493297142696787,0.13309977534717024,0.8195710202566564,Fröhlich,61
L6 IT_1,-0.04155568941780364,0.17432800272089485,0.8124029507705707,Fröhlich,61
L6 IT_2,0.0780592239648705,0.1470850814074194,0.5975838864488677,Fröhlich,61
L4 IT_2,-0.05097871602612149,0.08004529620764078,0.5266345315945811,Fröhlich,61
L4 IT_3,-0.18864484669861903,0.13225553751166272,0.15895536436288124,Fröhlich,61
L4 IT_4,-0.04142788546938225,0.10365079423493777,0.6908090204236776,Fröhlich,61
L5 IT_1,-0.0523395465830268,0.09275375910681023,0.5746677245628595,Fröhlich,61
L5 IT_3,-0.050727494907416355,0.10343735549459077,0.6256306079755825,Fröhlich,61
L2/3 IT_3,-0.04073100789330329,0.12958067337163784,0.7543634007275437,Fröhlich,61
L4 IT_1,0.1065874138040165,0.09726058333349488,0.2775123607054081,Fröhlich,61
L5 IT_2,-0.03759475676390006,0.0835351472830831,0.6543014107358358,Fröhlich,61
L5 IT_5,-0.10667406362465452,0.09682713876118682,0.27500218708556773,Fröhlich,61
L5 IT_6,0.22659717899494003,0.11495956268749857,0.05333858561165112,Fröhlich,61
L5 IT_7,-0.09711596851373804,0.11071665503527542,0.3839063947527316,Fröhlich,61
L5 ET_1,0.10365737288044526,0.23742043109871377,0.6639728129608728,Fröhlich,61
L5 ET_2,-0.04563287334654205,0.18123218652794593,0.8020637077085431,Fröhlich,61
L6 CT_1,0.3520093631234183,0.2580902123180619,0.17770362423767347,Fröhlich,61
L6 CT_2,0.03637388612299057,0.17654666713593747,0.8374664204507972,Fröhlich,61
L6 CT_3,0.18002650146471624,0.15509536094701323,0.25035105143123376,Fröhlich,61
L6 CT_4,-0.040339598127702665,0.1502987624120342,0.7893168835123885,Fröhlich,61
L6b_1,0.055136967193941476,0.20243296792496787,0.7862733519890208,Fröhlich,61
L6b_2,0.03240020720178911,0.21474087982118084,0.880577092179928,Fröhlich,61
L6b_3,0.007380090469775294,0.11710095146330239,0.9499578279659272,Fröhlich,61
L6b_4,-0.006374250876363261,0.180209353281787,0.9719012587656597,Fröhlich,61
L6b_5,-0.1088508784228331,0.11416514399069777,0.3441944011601189,Fröhlich,61
L6b_6,0.12833186445066766,0.16439560805487916,0.43809605178517586,Fröhlich,61
L6 IT Car3_1,-0.2767437916976627,0.16799641882699454,0.10473037176588804,Fröhlich,61
L6 IT Car3_2,0.0052877016700916815,0.1735065774542587,0.9757891653161783,Fröhlich,61
L6 IT Car3_3,0.12708824053225906,0.1104585020712674,0.2544902607021348,Fröhlich,61
L5/6 NP_1,0.007179098418796755,0.11344312795304115,0.9497513746356541,Fröhlich,61
L5/6 NP_2,-0.02282371821459797,0.12825762936680998,0.8593611681780275,Fröhlich,61
L5/6 NP_3,-0.03454889069653995,0.09944660246393817,0.7295002798201473,Fröhlich,61
L5/6 NP_6,0.07769136152834075,0.10519398666713763,0.4630630966423549,Fröhlich,61
L5/6 NP_4,0.19339533204970705,0.15699800624900556,0.22282663610655853,Fröhlich,61
Lamp5_Lhx6_1,0.044221947017688994,0.09221479964973768,0.6323238697490969,HBCC,130
Lamp5_1,0.14823618806092986,0.1370717091491243,0.2814327766146993,HBCC,130
Lamp5_2,0.09379030759259988,0.08749609939545369,0.2856685097110125,HBCC,130
Lamp5_3,0.0645775113447329,0.13811367462285426,0.6408505673765768,HBCC,130
Lamp5_4,0.1502270831233059,0.14891622154892614,0.31488120811405323,HBCC,130
Lamp5_5,-0.047364968896260115,0.16503323279356233,0.7745521196696078,HBCC,130
Lamp5_6,0.14805389155177112,0.18719209760360925,0.4303837827147865,HBCC,130
Pax6_1,0.050432027874550374,0.15796028093493905,0.7500170200431072,HBCC,130
Pax6_3,0.15311344728736148,0.16752518919416756,0.3623671983258753,HBCC,130
Pax6_4,0.2712821029245626,0.16137284670514057,0.09506707792106737,HBCC,130
Sncg_3,0.02559617762374099,0.15539770664674157,0.8694164603054733,HBCC,130
Sncg_6,0.0855598609492994,0.1444574846769586,0.5546550810188442,HBCC,130
Sncg_2,0.2917447236824611,0.1766613546831144,0.1009834074421018,HBCC,130
Sncg_1,0.010802166789446456,0.16336739745603368,0.9473789676927971,HBCC,130
Sncg_8,0.0681436826962849,0.14995405956176222,0.6502518270638264,HBCC,130
Sncg_4,-0.043180304904014054,0.1700552878588339,0.799945841532293,HBCC,130
