supertype,beta,se,p,k,I2,Q_p,dropped
Lamp5_2,0.036531547868031276,0.04573043315946052,0.4243800402571638,6,0,0.9321926035311623,HBCC
Lamp5_3,0.11249978472922272,0.07392236146659999,0.12804314755774301,6,57.02373173179105,0.04015681983208381,HBCC
Lamp5_4,0.05651855508453725,0.07425697888929501,0.44658472560746165,6,0,0.49925989160316814,HBCC
Lamp5_5,0.007392831200789471,0.06428514570907617,0.9084446357029167,6,0,0.4679961782656964,HBCC
Lamp5_6,0.10209207968294973,0.09055075505914664,0.25954932493882293,6,0,0.7618616676843923,HBCC
Lamp5_Lhx6_1,-0.008738298745218687,0.04662572971899246,0.8513363117377273,6,0,0.7552918267779244,HBCC
Pax6_1,-0.046617981341389204,0.06310618773222539,0.4600753222390557,6,0,0.8470352993536833,HBCC
Pax6_2,0.118936931018439,0.08271166130089998,0.1504424174409908,6,14.345464706598547,0.32236329217851684,HBCC
Pax6_3,0.00992961469040725,0.07952357270974728,0.900631385285188,6,0,0.8445870470067043,HBCC
Pax6_4,0.00954628092836044,0.08289269107138936,0.9083148739285529,6,16.743982445735995,0.3056771253314761,HBCC
Pvalb_1,-0.02342832257805289,0.06576515191800328,0.7216591891541975,6,17.49107483767245,0.3004291172522996,HBCC
Pvalb_10,0.07080720468426774,0.07487016891056449,0.34428468261024725,6,5.330449300714727,0.3824966948174954,HBCC
Pvalb_12,0.1317295085357077,0.07785747764140709,0.09065906057955625,6,0,0.7209075368112217,HBCC
Pvalb_13,0.08293557234072337,0.07062997039664014,0.24030437432147808,6,8.282802850650894,0.3632889238027034,HBCC
Pvalb_14,0.16505577623247145,0.06934041889352917,0.0172953142893474,6,40.22252768264573,0.13726565819140193,HBCC
Pvalb_15,-0.06378054641276092,0.04677311809944624,0.1726886274186777,6,4.7698408299581985,0.38608722823516123,HBCC
Pvalb_2,-0.09756980466965193,0.061786141716319236,0.11430084265521179,6,23.49385209615353,0.2575460848461289,HBCC
Pvalb_3,-0.024556989874294322,0.06363410912776571,0.6995638967040692,6,8.398834996610711,0.36252396160188,HBCC
Pvalb_5,-0.09257392241195023,0.06833769038217419,0.1755278351249549,6,0,0.5641304729712822,HBCC
Pvalb_6,-0.10755206013045682,0.05803217526413838,0.06383682939129329,6,0,0.4779960017144015,HBCC
Pvalb_7,0.1305005829900032,0.07299956846282074,0.0738260703873253,6,46.08604785045145,0.09862042882919184,HBCC
Pvalb_8,-0.0641819824456082,0.08276646446472291,0.43806860709879847,6,9.494674300725107,0.3552628358985231,HBCC
Pvalb_9,-0.0030016367036540224,0.0634036188242589,0.9622408733874909,6,0,0.5728997735087259,HBCC
Sncg_1,0.014169910685099298,0.07379876794472882,0.8477363969338965,6,0,0.6218394355684056,HBCC
Sncg_2,0.12012490184590878,0.0930203025512435,0.1965706622902051,6,69.54088349034387,0.0057528216738375925,HBCC
Sncg_3,0.0579849529722097,0.08098408383695446,0.4739886883434676,6,32.363102472203785,0.1930530133778661,HBCC
Sncg_4,0.005016286540962336,0.07163092504885431,0.9441700832696827,6,35.5837625836573,0.16984818237035193,HBCC
Sncg_5,-0.030497621363514,0.08131749003393911,0.7076278842330666,6,0,0.7182073745798565,HBCC
Sncg_6,-0.03083823765175172,0.06756618409637072,0.6480913925624521,6,23.964797219246055,0.2541388651375721,HBCC
Sncg_8,-0.017042092052246608,0.07011655235345131,0.8079637473415024,6,37.23709243286308,0.15809219178537837,HBCC
Sst Chodl_1,-0.031722050458798175,0.08038535894168178,0.6931198608644782,6,43.05435243194886,0.11815461083925828,HBCC
Sst Chodl_2,0.15090834356894073,0.08730374221170208,0.08389077289066806,6,0,0.478037728527389,HBCC
Sst_1,0.053071045799582536,0.07033754566672368,0.45053737482003775,6,10.317827494747739,0.34976562198598693,HBCC
Sst_10,0.07539422598694961,0.06554017121872074,0.24999917937959695,6,0,0.7091384646316808,HBCC
Sst_11,-0.1598078023782409,0.08934307787980389,0.07366343338619881,6,28.568235043644513,0.22066358359424407,HBCC
Sst_12,-0.013755371894323494,0.0766947055087817,0.8576610824380779,6,40.462387846271554,0.13561979406719604,HBCC
Sst_13,-0.08594452878159475,0.06190697544752238,0.1650502613872302,6,0,0.4900088159034782,HBCC
Sst_19,-0.05499947969454057,0.059522022776503154,0.3554764259121804,6,0,0.5575165697375565,HBCC
Sst_2,-0.2705013592830445,0.06874072943415023,8.316349873577116e-5,6,0,0.4480562645422562,HBCC
Sst_20,-0.18907652122437105,0.09033511707955165,0.03634409419322329,6,42.60599224807605,0.12113045226981474,HBCC
Sst_22,-0.3166820280904334,0.0953643704059457,8.977323330821944e-4,6,7.911935655522042,0.36572890034953953,HBCC
Sst_23,-0.061724260299233814,0.07890792395214812,0.43407856078931645,6,0,0.50032074633386,HBCC
Sst_25,-0.27354407438857353,0.09731102338634932,0.004938338885274967,6,0,0.4993084232437279,HBCC
Sst_3,-0.17496631239957885,0.06987816768055068,0.012284085251631308,6,16.108375667804175,0.3101236404431225,HBCC
Sst_4,0.06912367461237193,0.07480220219019434,0.3554414944502234,6,0,0.9222187073002052,HBCC
Sst_5,0.0016580681109476857,0.07602617247616279,0.9826001752233334,6,33.96856325492054,0.18144507803315243,HBCC
Sst_7,0.08087442726674228,0.07691661515389837,0.2930492627621994,6,0,0.9645818722523198,HBCC
Sst_9,-0.04550477431095245,0.06117106484345603,0.4569407420369098,6,0,0.7124073921423083,HBCC
Vip_1,-0.061473330237842475,0.05280419580860882,0.24435305657672482,6,0,0.8063587514229713,HBCC
Vip_11,-0.035528386513387016,0.059269414272400775,0.5488803103663987,6,8.98705531070993,0.358634556105453,HBCC
Vip_12,-0.10718990910470479,0.07930183190772928,0.17648089825175223,6,48.35932090742381,0.08475452065524909,HBCC
Vip_13,-0.08312370966948222,0.06826471780079933,0.22335045575304757,6,0,0.8518462753818671,HBCC
Vip_14,0.03391104653491865,0.07734321287112944,0.6610609058105851,6,0,0.45743582061014,HBCC
Vip_15,-0.016062904845073334,0.05150383801897526,0.7551333776404738,6,30.756083182393148,0.20472666305532225,HBCC
Vip_16,0.007714156708452937,0.07420989977292235,0.9172086253608353,6,0,0.4988001977405615,HBCC
Vip_18,-0.07792129563720554,0.07067748837907194,0.27024826418135717,6,0,0.9438838018306878,HBCC
Vip_19,-0.01834476909831051,0.04789178996863862,0.7016854944424775,6,0,0.9115765050251672,HBCC
