class,subclass,supertype,median_MERFISH,median_Xenium,n_MERFISH,n_Xenium,q25_MERFISH,q25_Xenium,q75_MERFISH,q75_Xenium,delta_median,iqr_MERFISH,iqr_Xenium
Glutamatergic,L5 IT,L5 IT_2,0.6151413888295247,0.5924919877382451,4430.0,6879.0,0.5555258627760623,0.5671572079583328,0.6765666237557189,0.620561445257409,-0.022649401091279664,0.12104076097965655,0.053404237299076174
Glutamatergic,L5 IT,L5 IT_3,0.6874885826328057,0.613707270336551,2794.0,502.0,0.624919080642142,0.5445513111117966,0.7491544830472885,0.7011689726115709,-0.07378131229625462,0.12423540240514652,0.1566176614997743
Glutamatergic,L5 IT,L5 IT_5,0.5935674471517951,0.583797902401471,2264.0,11682.0,0.5416384961290956,0.557418826300245,0.6471904726502067,0.6106468161634779,-0.0097695447503241,0.10555197652111104,0.05322798986323296
Glutamatergic,L5 IT,L5 IT_6,0.5816066167713898,0.5079189748551833,3427.0,17423.0,0.5280145566015452,0.4194280016295061,0.6340528234358962,0.5687436000351845,-0.07368764191620647,0.10603826683435102,0.14931559840567843
Glutamatergic,L5 IT,L5 IT_7,0.6537945720659218,0.5905296907246677,4650.0,9108.0,0.5989670982397157,0.5417963134796622,0.7073868607793989,0.626324169847083,-0.06326488134125419,0.10841976253968322,0.08452785636742077
Glutamatergic,L5/6 NP,L5/6 NP_1,0.6596970836324537,0.6362672105257192,619.0,1352.0,0.6048219171399988,0.6023763083523073,0.7196155023774657,0.703743646851164,-0.0234298731067345,0.11479358523746697,0.10136733849885671
Glutamatergic,L5/6 NP,L5/6 NP_2,0.6536719668016047,0.6284795588658468,1337.0,1170.0,0.5996288473998466,0.5972758664542014,0.7173389655134326,0.6864248117682743,-0.025192407935757832,0.117710118113586,0.08914894531407291
Glutamatergic,L5/6 NP,L5/6 NP_3,0.6493233446271096,0.6094525278328555,789.0,895.0,0.5936200898505629,0.5754400366541224,0.7179720375070969,0.6564735050661199,-0.03987081679425408,0.12435194765653401,0.08103346841199754
Glutamatergic,L5/6 NP,L5/6 NP_4,0.6585462511442799,0.6319405595373098,153.0,1926.0,0.6088685932255338,0.6018884440282423,0.7131881664645032,0.6957815131351517,-0.026605691606970128,0.10431957323896945,0.09389306910690942
Glutamatergic,L5/6 NP,L5/6 NP_6,0.6525322493166984,0.6189438340466471,423.0,988.0,0.6014583654476942,0.5950967928335994,0.716839991331776,0.6504904647800591,-0.0335884152700513,0.11538162588408185,0.05539367194645972
Glutamatergic,L6 CT,L6 CT_1,0.8567227492559728,0.8827506013018988,432.0,483.0,0.7877636168657768,0.8291983871597723,0.902703554752064,0.9139464718908943,0.026027852045925948,0.1149399378862872,0.08474808473112194
Glutamatergic,L6 CT,L6 CT_2,0.8110074353465027,0.8217426998035546,1338.0,2406.0,0.7478544235030227,0.7767121845241908,0.8699956418798227,0.8643968192314745,0.010735264457051974,0.12214121837680003,0.08768463470728372
Glutamatergic,L6 CT,L6 CT_3,0.7987905905823,0.8004782408445879,2773.0,2314.0,0.7408187646568105,0.7426871797831262,0.8576540820344197,0.8411603243350912,0.0016876502622878986,0.11683531737760922,0.0984731445519651
Glutamatergic,L6 CT,L6 CT_4,0.8101052167736797,0.788545200463931,72.0,3373.0,0.7535582574233106,0.6392065192776388,0.8873676590014945,0.8477118798954004,-0.021560016309748797,0.13380940157818388,0.2085053606177616
Glutamatergic,L6 IT,L6 IT_1,0.8180811841679052,0.8376516363035921,5530.0,4432.0,0.6874798539194555,0.7137956376484733,0.8784356308533394,0.8760984453398762,0.019570452135686867,0.19095577693388388,0.16230280769140293
