Subject,488 Channel,568 Channel,Area (um^2),Layer,,,
10006 - R - 13,2,1,,5/6,,,
10006 - R - 14,1,0,,5/6,,,
10006 - R - 15,0,0,,5/6,,,
10006 - R - 16,1,0,,5/6,,,
10006 - R - 17,2,0,,5/6,,,
10006 - R - 18,3,0,,5/6,,,
10006 - R - 19,0,0,,5/6,,,
10006 - R - 20,0,0,,5/6,,,
10010-L - 1,17,1,4021507.00,2/3,,,
10010-L - 2,29,2,,2/3,,,
10010-L - 3,20,1,,2/3,,,
10010-L - 4,22,1,,2/3,,,
10010-L - 5,18,2,,2/3,,,
10010-L - 6,30,1,,2/3,,,
10010-L - 7,19,2,,2/3,,,
10010-L - 8,18,1,,2/3,,,
10010-L - 9,38,3,,2/3,,,
10010-L - 10,19,2,,2/3,,,
10010-L - 11,21,0,,5/6,,,
10010-L - 12,25,1,,5/6,,,
10010-L - 13,26,0,,5/6,,,
10010-L - 14,32,0,,5/6,,,
10010-L - 15,27,1,,5/6,,,
10010-L - 16,28,3,,5/6,,,
10010-L - 17,25,0,,5/6,,,
10010-L - 18,29,0,,5/6,,,
10010-L - 19,22,2,,5/6,,,
10010-L - 20,26,0,,5/6,,,
10010 - R - 1,1,5,67661516.00,2/3,,,
10010 - R - 2,2,2,,2/3,,,
10010 - R - 3,3,3,,2/3,,,
10010 - R - 4,2,3,,2/3,,,
10010 - R - 5,4,0,,2/3,,,
10010 - R - 6,3,0,,2/3,,,
10010 - R - 7,12,0,,2/3,,,
10010 - R - 8,1,5,,2/3,,,
10010 - R - 9,5,3,,2/3,,,
10010 - R - 10,3,0,,2/3,,,
10010 - R - 11,0,0,,5/6,,,
10010 - R - 12,1,0,,5/6,,,
10010 - R - 13,2,0,,5/6,,,
10010 - R - 14,1,0,,5/6,,,
10010 - R - 15,2,0,,5/6,,,
10010 - R - 16,1,0,,5/6,,,
10010 - R - 17,2,0,,5/6,,,
10010 - R - 18,2,0,,5/6,,,
10010 - R - 19,2,1,,5/6,,,
10010 - R - 20,3,2,,5/6,,,
10020 - L - 1,11,0,95969861.00,2/3,,,
10020 - L - 2,3,0,,2/3,,,
10020 - L - 3,7,0,,2/3,,,
10020 - L - 4,4,0,,2/3,,,
10020 - L - 5,8,0,,2/3,,,
10020 - L - 6,8,0,,2/3,,,
10020 - L - 7,0,0,,2/3,,,
10020 - L - 8,0,0,,2/3,,,
10020 - L - 9,8,0,,2/3,,,
10020 - L - 10,6,0,,2/3,,,
10020 - L - 11,15,0,,5/6,,,
10020 - L - 12,0,0,,5/6,,,
10020 - L - 13,10,0,,5/6,,,
10020 - L - 14,12,0,,5/6,,,
10020 - L - 15,9,0,,5/6,,,
10020 - L - 16,9,0,,5/6,,,
10020 - L - 17,9,0,,5/6,,,
10020 - L - 18,6,0,,5/6,,,
10020 - L - 19,8,0,,5/6,,,
10020 - L - 20,6,0,,5/6,,,
10020 - R - 1,1,1,86620612.00,2/3,,,
10020 - R - 2,1,0,,2/3,,,
10020 - R - 3,1,1,,2/3,,,
10020 - R - 4,1,1,,2/3,,,
10020 - R - 5,0,0,,2/3,,,
10020 - R - 6,1,0,,2/3,,,
10020 - R - 7,2,1,,2/3,,,
10020 - R - 8,0,0,,2/3,,,
10020 - R - 9,2,0,,2/3,,,
10020 - R - 10,0,0,,2/3,,,
10020 - R - 11,0,0,,5/6,,,
10020 - R - 12,0,0,,5/6,,,
10020 - R - 13,3,0,,5/6,,,
10020 - R - 14,1,0,,5/6,,,
10020 - R - 15,1,0,,5/6,,,
10020 - R - 16,0,0,,5/6,,,
10020 - R - 17,0,0,,5/6,,,
10020 - R - 18,0,0,,5/6,,,
10020 - R - 19,0,0,,5/6,,,
10020 - R - 20,0,0,,5/6,,,
10023 - R - 1,3,1,58663956.00,2/3,,,
10023 - R - 2,3,2,,2/3,,,
10023 - R - 3,2,0,,2/3,,,
10023 - R - 4,5,0,,2/3,,,
10023 - R - 5,2,1,,2/3,,,
10023 - R - 6,5,2,,2/3,,,
10023 - R - 7,0,0,,2/3,,,
10023 - R - 8,0,0,,2/3,,,
10023 - R - 9,2,0,,2/3,,,
10023 - R - 10,3,3,,2/3,,,
10023 - R - 11,1,0,,5/6,,,
10023 - R - 12,2,0,,5/6,,,
10023 - R - 13,4,0,,5/6,,,
10023 - R - 14,4,0,,5/6,,,
10023 - R - 15,0,0,,5/6,,,
10023 - R - 16,2,0,,5/6,,,
10023 - R - 17,0,0,,5/6,,,
10023 - R - 18,0,0,,5/6,,,
10023 - R - 19,0,0,,5/6,,,
10023 - R - 20,0,0,.,5/6,,,
10023  -L - 1,8,1,55522584.00,2/3,,,
10023  -L - 2,10,0,,2/3,,,
10023  -L - 3,7,0,,2/3,,,
10023  -L - 4,10,0,,2/3,,,
10023  -L - 5,6,0,,2/3,,,
10023  -L - 6,6,0,,2/3,,,
10023  -L - 7,6,0,,2/3,,,
10023  -L - 8,11,0,,2/3,,,
10023  -L - 9,9,0,,2/3,,,
10023  -L - 10,10,2,,2/3,,,
10023  -L - 11,5,0,,5/6,,,
10023  -L - 12,8,1,,5/6,,,
10023  -L - 13,6,0,,5/6,,,
10023  -L - 14,7,0,,5/6,,,
10023  -L - 15,6,0,,5/6,,,
10023  -L - 16,5,0,,5/6,,,
10023  -L - 17,11,0,,5/6,,,
10023  -L - 18,8,2,,5/6,,,
10023  -L - 19,6,1,,5/6,,,
10023  -L - 20,7,0,,5/6,,,
10024 - L - 1,7,0,64068745.00,2/3,,,
10024 - L - 2,12,0,,2/3,,,
10024 - L - 3,6,0,,2/3,,,
10024 - L - 4,15,0,,2/3,,,
10024 - L - 5,17,2,,2/3,,,
10024 - L - 6,24,0,,2/3,,,
10024 - L - 7,14,1,,2/3,,,
10024 - L - 8,10,0,,2/3,,,
10024 - L - 9,11,0,,2/3,,,
10024 - L - 10,11,1,,2/3,,,
10024 - L - 11,17,0,,5/6,,,
10024 - L - 12,11,0,,5/6,,,
10024 - L - 13,9,0,,5/6,,,
10024 - L - 14,5,0,,5/6,,,
10024 - L - 15,2,0,,5/6,,,
10024 - L - 16,0,0,,5/6,,,
10024 - L - 17,9,0,,5/6,,,
10024 - L - 18,15,0,,5/6,,,
10024 - L - 19,10,1,,5/6,,,
10024 - L - 20,8,1,,5/6,,,
10024 - R - 1,2,1,69549246.00,2/3,,,
10024 - R - 2,3,4,,2/3,,,
10024 - R - 3,6,3,,2/3,,,
10024 - R - 4,3,4,,2/3,,,
10024 - R - 5,3,1,,2/3,,,
10024 - R - 6,4,3,,2/3,,,
10024 - R - 7,4,1,,2/3,,,
10024 - R - 8,2,6,,2/3,,,
10024 - R - 9,1,0,,2/3,,,
10024 - R - 10,3,2,,2/3,,,
10024 - R - 11,4,0,,5/6,,,
10024 - R - 12,0,0,,5/6,,,
10024 - R - 13,0,0,,5/6,,,
10024 - R - 14,0,0,,5/6,,,
10024 - R - 15,0,0,,5/6,,,
10024 - R - 16,0,0,,5/6,,,
10024 - R - 17,4,1,,5/6,,,
10024 - R - 18,2,1,,5/6,,,
10024 - R - 19,4,2,,5/6,,,
10024 - R - 20,5,2,,5/6,,,
10025 - L - 1,2,0,77645698.00,2/3,,,
10025 - L - 2,5,0,,2/3,,,
10025 - L - 3,4,1,,2/3,,,
10025 - L - 4,2,0,,2/3,,,
10025 - L - 5,9,0,,2/3,,,
10025 - L - 6,12,0,,2/3,,,
10025 - L - 7,11,0,,2/3,,,
10025 - L - 8,5,0,,2/3,,,
10025 - L - 9,3,0,,2/3,,,
10025 - L - 10,14,0,,2/3,,,
10025 - L - 11,6,1,,5/6,,,
10025 - L - 12,4,0,,5/6,,,
10025 - L - 13,7,0,,5/6,,,
10025 - L - 14,15,0,,5/6,,,
10025 - L - 15,2,0,,5/6,,,
10025 - L - 16,13,0,,5/6,,,
10025 - L - 17,16,0,,5/6,,,
10025 - L - 18,13,0,,5/6,,,
10025 - L - 19,0,0,,5/6,,,
10025 - L - 20,0,0,,5/6,,,
10025 - R - 1,2,2,78454363.00,2/3,,,
10025 - R - 2,1,0,,2/3,,,
10025 - R - 3,5,2,,2/3,,,
10025 - R - 4,6,3,,2/3,,,
10025 - R - 5,1,0,,2/3,,,
10025 - R - 6,0,0,,2/3,,,
10025 - R - 7,0,1,,2/3,,,
10025 - R - 8,3,1,,2/3,,,
10025 - R - 9,3,0,,2/3,,,
10025 - R - 10,3,0,,2/3,,,
10025 - R - 11,0,0,,5/6,,,
10025 - R - 12,1,0,,5/6,,,
10025 - R - 13,0,1,,5/6,,,
10025 - R - 14,2,0,,5/6,,,
10025 - R - 15,3,0,,5/6,,,
10025 - R - 16,1,0,,5/6,,,
10025 - R - 17,0,0,,5/6,,,
10025 - R - 18,0,0,,5/6,,,
10025 - R - 19,1,1,,5/6,,,
10025 - R - 20,2,0,,5/6,,,
10026 - L - 1,0,0,46786298.00,2/3,,,
10026 - L - 2,0,0,,2/3,,,
10026 - L - 3,6,1,.,2/3,,,
10026 - L - 4,8,0,,2/3,,,
10026 - L - 5,3,1,,2/3,,,
10026 - L - 6,5,0,,2/3,,,
10026 - L - 7,15,0,,2/3,,,
10026 - L - 8,16,0,,2/3,,,
10026 - L - 9,12,1,,2/3,,,
10026 - L - 10,0,0,,2/3,,,
10026 - L - 11,12,0,,5/6,,,
10026 - L - 12,11,0,,5/6,,,
10026 - L - 13,9,0,,5/6,,,
10026 - L - 14,15,0,,5/6,,,
10026 - L - 15,14,0,,5/6,,,
10026 - L - 16,11,0,,5/6,,,
10026 - L - 17,5,1,,5/6,,,
10026 - L - 18,12,0,,5/6,,,
10026 - L - 19,22,0,,5/6,,,
10026 - L - 20,7,1,,5/6,,,
10026 - R - 1,2,11,49508043.00,2/3,,,
10026 - R - 2,2,3,,2/3,,,
10026 - R - 3,5,1,,2/3,,,
10026 - R - 4,4,4,,2/3,,,
10026 - R - 5,0,5,,2/3,,,
10026 - R - 6,4,0,,2/3,,,
10026 - R - 7,4,2,,2/3,,,
10026 - R - 8,2,0,,2/3,,,
10026 - R - 9,4,2,,2/3,,,
10026 - R - 10,8,4,,2/3,,,
10026 - R - 11,4,0,,5/6,,,
10026 - R - 12,3,0,,5/6,,,
10026 - R - 13,2,0,,5/6,,,
10026 - R - 14,1,0,,5/6,,,
10026 - R - 15,2,0,,5/6,,,
10026 - R - 16,2,1,,5/6,,,
10026 - R - 17,0,1,,5/6,,,
10026 - R - 18,4,2,,5/6,,,
10026 - R - 19,5,0,,5/6,,,
10026 - R - 20,3,0,,5/6,,,
1088 - R - 1,,,,,,,
1088 - R - 2,,,,,,,
1088 - R - 3,,,,,,,
1088 - R - 4,4,,,,,,
1088 - R - 5,5,,,,,,
1088 - R - 6,6,,,,,,
1088 - R - 7,7,,,,,,
1088 - R - 8,8,,,,,,
1088 - R - 9,9,,,,,,
1088 - R - 10,10,,,,,,
1088 - R - 11,11,,,,,,
1088 - R - 12,12,,,,,,
1088 - R - 13,13,,,,,,
1088 - R - 14,14,,,,,,
1088 - R - 15,15,,,,,,
1088 - R - 16,16,,,,,,
1088 - R - 17,17,,,,,,
1088 - R - 18,18,,,,,,
1088 - R - 19,19,,,,,,
1088 - R - 20,20,,,,,,
1153 - R - 1,1,,,,,,
1153 - R - 2,2,,,,,,
1153 - R - 3,3,,,,,,
1153 - R - 4,4,,,,,,
1153 - R - 5,5,,,,,,
1153 - R - 6,6,,,,,,
1153 - R - 7,7,,,,,,
1153 - R - 8,8,,,,,,
1153 - R - 9,9,,,,,,
1153 - R - 10,10,,,,,,
1153 - R - 11,11,,,,,,
1153 - R - 12,12,,,,,,
1153 - R - 13,13,,,,,,
1153 - R - 14,14,,,,,,
1153 - R - 15,15,,,,,,
1153 - R - 16,16,,,,,,
1153 - R - 17,17,,,,,,
1153 - R - 18,18,,,,,,
1153 - R - 19,19,,,,,,
1153 - R - 20,20,,,,,,
1188 - R - 1,1,,,,,,
1188 - R - 2,2,,,,,,
1188 - R - 3,3,,,,,,
1188 - R - 4,4,,,,,,
1188 - R - 5,5,,,,,,
1188 - R - 6,6,,,,,,
1188 - R - 7,7,,,,,,
1188 - R - 8,8,,,,,,
1188 - R - 9,9,,,,,,
1188 - R - 10,10,,,,,,
1188 - R - 11,11,,,,,,
1188 - R - 12,12,,,,,,
1188 - R - 13,13,,,,,,
1188 - R - 14,14,,,,,,
1188 - R - 15,15,,,,,,
1188 - R - 16,16,,,,,,
1188 - R - 17,17,,,,,,
1188 - R - 18,18,,,,,,
1188 - R - 19,19,,,,,,
1188 - R - 20,20,,,,,,
1367 - L - 1,1,,,,,,
1367 - L - 2,2,,,,,,
1367 - L - 3,3,,,,,,
1367 - L - 4,4,,,,,,
1367 - L - 5,5,,,,,,
1367 - L - 6,6,,,,,,
1367 - L - 7,7,,,,,,
1367 - L - 8,8,,,,,,
1367 - L - 9,9,,,,,,
1367 - L - 10,10,,,,,,
1367 - L - 11,11,,,,,,
1367 - L - 12,12,,,,,,
1367 - L - 13,13,,,,,,
1367 - L - 14,14,,,,,,
1367 - L - 15,15,,,,,,
1367 - L - 16,16,,,,,,
1367 - L - 17,17,,,,,,
1367 - L - 18,18,,,,,,
1367 - L - 19,19,,,,,,
1367 - L - 20,20,,,,,,
