gene,log2FC,pct_vulnerable,pct_not_depleted,mean_vulnerable,mean_not_depleted,p_wilcoxon,fdr_wilcoxon,donor_delta,p_donor_paired,fdr_donor,neg_log10_p,always_label
ZFAND6,0.043016765,0.20710755471875736,0.17215127701375246,0.13191016,0.10808361,1.1175678e-06,3.2792780866323207e-06,0.010335992,0.3170493,0.47087107355143015,5.951726,False
NUP188,0.03430614,0.24029183337255824,0.20235756385068762,0.14508732,0.12305062,1.1186955e-06,3.2817382285506773e-06,0.014463675,0.10408839,0.22681111919389887,5.951288,False
PCDH15,-0.27045205,0.9169216286184985,0.7576129666011788,1.8251104,1.664284,1.1203947e-06,3.285873141968016e-06,0.23797706,0.027685378,0.10491698811169657,5.9506288,False
UBE4A,-0.06993388,0.4728171334431631,0.506016699410609,0.3322158,0.37177747,1.1238493e-06,3.2951528652751437e-06,-0.05052928,0.017494315,0.0821421793754527,5.9492917,False
COMMD7,-0.057775103,0.2586490939044481,0.2980108055009823,0.15988034,0.1897117,1.1315477e-06,3.3168675671560202e-06,-0.03040969,0.047267947,0.14114440130729303,5.946327,False
CYP51A1,-0.06212461,0.4102141680395387,0.4462180746561886,0.2816262,0.31813127,1.135476e-06,3.3275226914922695e-06,-0.0385382,0.12561934,0.25553889393400475,5.944822,False
PDAP1,-0.050824188,0.2042833607907743,0.24214145383104127,0.12278402,0.14915606,1.1428763e-06,3.348344221156983e-06,-0.02731407,0.11206614,0.23775543675191696,5.942001,False
ATG14,-0.059717234,0.39209225700164746,0.4293958742632613,0.26378605,0.29857865,1.1469393e-06,3.3593803197876477e-06,-0.052987885,0.0025013625,0.03424726639987473,5.9404597,False
TPRG1L,-0.04201006,0.12520593080724876,0.1569253438113949,0.07226374,0.093395494,1.1553132e-06,3.3830335795510106e-06,-0.013408718,0.44683877,0.5884608721993266,5.9373,False
H2AFZ,-0.08527455,0.33325488350200044,0.3677554027504912,0.22793253,0.26912597,1.1575706e-06,3.3887694439580365e-06,-0.0492209,0.12525581,0.2550498157290358,5.9364524,False
NSD3,-0.06101057,0.9232760649564603,0.9190815324165029,1.1694351,1.2074777,1.1709227e-06,3.426972972719293e-06,-0.05685408,0.00070466415,0.021307382177799306,5.931472,False
B4GALT7,-0.03131528,0.09249235114144505,0.12156188605108055,0.051995065,0.06823926,1.1909938e-06,3.484816419915314e-06,-0.018331539,0.00077455956,0.02174124070155768,5.9240904,False
USP4,0.057923656,0.43680866086137915,0.3962426326129666,0.3071846,0.27142876,1.1931517e-06,3.490230052233849e-06,0.02827256,0.07372021,0.18436552986266122,5.9233046,False
CMTM4,-0.06733279,0.40880207107554717,0.4480599214145383,0.2900678,0.32800567,1.2019337e-06,3.5150133152080583e-06,-0.029416466,0.023486862,0.09566995562514026,5.9201193,False
LINC00623,0.046939466,0.342668863261944,0.3008349705304519,0.22065867,0.1919423,1.223657e-06,3.577619983056157e-06,0.018312955,0.35202873,0.5046011900883719,5.91234,False
HMGB1,-0.077334754,0.8870322428806778,0.8887524557956779,1.1158885,1.1631259,1.2291215e-06,3.591900531131542e-06,-0.044183232,0.1964312,0.3409002735032316,5.910405,False
MRPL57,-0.06810037,0.31348552600611906,0.35093320235756387,0.20350297,0.23861824,1.2291747e-06,3.591900531131542e-06,-0.051089633,0.016172174,0.07911045852536115,5.9103866,False
CCDC112,-0.060146514,0.24994116262650035,0.2917485265225933,0.16479555,0.19482318,1.2394474e-06,3.620986727181704e-06,-0.02796702,0.019712506,0.086830464949519,5.9067717,False
ATL1,0.06158363,0.8227818310190633,0.7756630648330058,0.841717,0.7892135,1.2403415e-06,3.62266569631414e-06,0.038197063,0.04220499,0.1331064944797092,5.906459,False
ABCB10,-0.064065956,0.3659684631678042,0.40213654223968565,0.24272184,0.278629,1.2406904e-06,3.6227520425807556e-06,-0.010285715,0.6746011,0.7773964768355089,5.906337,False
PGRMC2,-0.05515526,0.21934572840668393,0.25638506876227896,0.13248552,0.1606932,1.2504275e-06,3.6502445363010626e-06,-0.028317025,0.10072148,0.22272601806164719,5.9029417,False
USP33,0.06070995,0.8613791480348317,0.8344793713163065,0.9377042,0.88976836,1.2524993e-06,3.6553514952183627e-06,0.010404969,0.56555766,0.6889697202702159,5.9022226,False
PLEKHA3,-0.05617296,0.31795716639209226,0.35670432220039294,0.2063367,0.23845704,1.2574078e-06,3.6687330522961576e-06,-0.018794823,0.35180852,0.5044646383657735,5.9005237,False
RPAP2,0.06638848,0.7502941868674983,0.7131630648330058,0.70828766,0.6603064,1.2639427e-06,3.6868517492785493e-06,0.009904945,0.76529086,0.843367875097144,5.8982725,False
RGL1,0.06300858,0.763003059543422,0.7229862475442044,0.73495317,0.68614423,1.265419e-06,3.6902088853877736e-06,0.07092458,0.024404416,0.09789380797908195,5.8977656,False
RAP2A,0.058681462,0.37208755001176747,0.33226915520628686,0.25956014,0.22535715,1.2762433e-06,3.7208184661150773e-06,0.008592019,0.40178254,0.549598611969432,5.8940663,False
ZBTB8OS,0.051066685,0.7051070840197694,0.6559430255402751,0.6223894,0.57794327,1.323627e-06,3.857971221698641e-06,0.013986861,0.5548203,0.6813772163750406,5.8782344,False
AC046195.1,0.026374847,0.19110378912685339,0.15459233791748528,0.15081275,0.13031144,1.3245921e-06,3.859792608024221e-06,0.0053542675,0.5721805,0.6950970141324427,5.877918,False
TMEM167A,-0.058301758,0.23276064956460343,0.2691552062868369,0.14146034,0.17143998,1.3309456e-06,3.877310412369083e-06,-0.041498907,0.0070010372,0.05406383205385253,5.8758397,False
DTX1,-0.059994023,0.22216992233466698,0.2593320235756385,0.13365935,0.16318512,1.3379246e-06,3.896640979509145e-06,-0.03804347,0.015831182,0.07841393169516252,5.8735685,False
BTRC,0.0652396,0.8460814309249235,0.818148330058939,0.92447233,0.8748572,1.3389671e-06,3.898676219004258e-06,0.030014265,0.22619393,0.3736086330513796,5.87323,False
LINC01945,-0.032131284,0.07719463403153683,0.10473968565815324,0.047778502,0.06309913,1.3398242e-06,3.900170786995016e-06,-0.010337693,0.25577298,0.40500959932038666,5.872952,False
TRAK1,-0.080731384,0.680160037655919,0.7078831041257367,0.60107934,0.6493421,1.3404793e-06,3.9010768371126236e-06,0.0027043044,0.9126191,0.9434848491320393,5.87274,False
AC011474.1,0.06818079,0.5342433513767946,0.481090373280943,0.4532024,0.40909612,1.3449969e-06,3.913220158599224e-06,0.032760043,0.2870136,0.43860892591805295,5.871279,False
UQCC1,0.054046154,0.6201459166862792,0.5708497053045186,0.4914841,0.4510571,1.3477519e-06,3.920230202567883e-06,0.03698221,0.039571706,0.12836341574370622,5.87039,False
MOB1B,-0.0683767,0.3337255824899977,0.37303536345776034,0.23065439,0.2669752,1.3558221e-06,3.942693121706452e-06,-0.029398829,0.14522597,0.27971567102800515,5.8677974,False
STK39,-0.086764604,0.6472111084961167,0.6646611001964636,0.56398153,0.61168164,1.3573136e-06,3.946018999567526e-06,-0.060830794,0.13741277,0.2699706312443172,5.8673196,False
LINC00903,0.027228218,0.11838079548128971,0.09086444007858546,0.067518875,0.052299496,1.3620912e-06,3.958893822930331e-06,0.0029715667,0.75339746,0.8354376770365306,5.8657937,False
ST6GALNAC6,-0.04640298,0.17886561543892682,0.21586444007858546,0.10609983,0.12958507,1.3665217e-06,3.9707536744259174e-06,-0.020728748,0.03443106,0.1182872969707936,5.8643837,False
TRAP1,0.057164297,0.502000470698988,0.4594793713163065,0.3710732,0.33361897,1.3703096e-06,3.98074075217131e-06,0.025328303,0.0678631,0.17592298657628255,5.863181,False
ADO,0.02668114,0.10167098140738998,0.0762524557956778,0.058046505,0.043471646,1.3724473e-06,3.9859299576105485e-06,0.007450235,0.2021432,0.3471257264347752,5.8625045,False
RPP21,0.033082504,0.2216992233466698,0.1850442043222004,0.13348435,0.11257459,1.3901996e-06,4.036453585201192e-06,0.0046843453,0.48659673,0.625459623909472,5.8569226,False
JKAMP,-0.06938744,0.32384090374205693,0.36038801571709234,0.2035592,0.2389999,1.4190316e-06,4.119113442262095e-06,-0.054386474,0.02305373,0.09482288429752651,5.848008,False
NUDT5,0.04868642,0.44504589315132975,0.3983300589390963,0.30435836,0.2718703,1.4199005e-06,4.120580861561742e-06,0.024595063,0.07457786,0.1857526257846803,5.847742,False
WDHD1,0.034113664,0.12120498940927277,0.093811394891945,0.072967716,0.055426195,1.4242563e-06,4.132164408788657e-06,0.008099591,0.30556348,0.4594793228683391,5.8464117,False
ATG2A,-0.03869551,0.1167333490232996,0.14845284872298625,0.067056686,0.0861038,1.4251283e-06,4.133637265853033e-06,-0.018935088,0.015526624,0.07742155305631868,5.846146,False
DMPK,0.049814824,0.2353494939985879,0.19916502946954814,0.14726207,0.121141896,1.4339588e-06,4.158187219549298e-06,0.04281296,0.021907268,0.0922137485143205,5.8434634,False
GADD45GIP1,-0.04374137,0.1089668157213462,0.13899803536345776,0.064015,0.08488907,1.4421043e-06,4.180739168434718e-06,-0.027060485,0.017703995,0.08262719013523241,5.8410034,False
