cell,t_ms,v_mV,i_pA
Sst_25,162.93999999999997,-65.00001,-90.0
Sst_25,163.90000000000003,-64.9375,-90.0
Sst_25,164.86,-64.9125,-90.0
Sst_25,165.81999999999996,-64.893745,-90.0
Sst_25,166.78000000000003,-64.88125,-90.0
Sst_25,167.74,-64.850006,-90.0
Sst_25,168.70000000000007,-64.856255,-90.0
Sst_25,169.66000000000003,-64.88125,-90.0
Sst_25,170.62,-64.887505,-90.0
Sst_25,171.58000000000007,-64.83751,-90.0
Sst_25,172.54000000000002,-64.88125,-90.0
Sst_25,173.5,-64.8,-90.0
Sst_25,174.46000000000006,-64.7875,-90.0
Sst_25,175.42000000000002,-64.762505,-90.0
Sst_25,176.38,-64.737495,-90.0
Sst_25,177.34000000000006,-64.7,-90.0
Sst_25,178.3,-64.674995,-90.0
Sst_25,179.25999999999996,-64.61875,-90.0
Sst_25,180.22000000000006,-64.6625,-90.0
Sst_25,181.18,-64.6,-90.0
Sst_25,182.13999999999996,-64.65625,-90.0
Sst_25,183.10000000000005,-64.65625,-90.0
Sst_25,184.06,-64.625,-90.0
Sst_25,185.02000000000007,-64.6375,-90.0
Sst_25,185.98000000000005,-64.668755,-90.0
Sst_25,186.94,-64.46876,-90.0
Sst_25,187.90000000000006,-64.4375,-90.0
Sst_25,188.86,-64.44375,-90.0
Sst_25,189.82,-64.456245,-90.0
Sst_25,190.78000000000006,-64.43126,-90.0
Sst_25,191.74,-64.506256,-90.0
Sst_25,192.7,-64.49375,-90.0
Sst_25,193.66000000000005,-64.4875,-90.0
Sst_25,194.62,-64.51875,-90.0
Sst_25,195.57999999999998,-64.5125,-90.0
Sst_25,196.54000000000005,-64.5125,-90.0
Sst_25,197.5,-64.456245,-90.0
Sst_25,198.45999999999998,-64.4625,-90.0
Sst_25,199.42000000000004,-64.450005,-90.0
Sst_25,200.38,-64.424995,-90.0
Sst_25,201.3400000000001,-64.44375,-90.0
Sst_25,202.30000000000004,-64.40625,-90.0
Sst_25,203.26,-64.481255,-90.0
Sst_25,204.22000000000006,-64.46876,-90.0
Sst_25,205.18000000000004,-64.549995,-90.0
Sst_25,206.14,-64.44375,-90.0
Sst_25,207.10000000000005,-64.43126,-90.0
Sst_25,208.06000000000003,-64.4625,-90.0
Sst_25,209.01999999999998,-64.506256,-90.0
Sst_25,209.98000000000005,-64.41875,-90.0
Sst_25,210.94000000000003,-64.475,-90.0
Sst_25,211.89999999999998,-64.43126,-90.0
Sst_25,212.86000000000004,-64.3125,-90.0
Sst_25,213.82000000000002,-64.40625,-90.0
Sst_25,214.77999999999997,-64.35,-90.0
Sst_25,215.74000000000004,-64.44375,-90.0
Sst_25,216.70000000000002,-64.37501,-90.0
Sst_25,217.66000000000008,-64.41875,-90.0
Sst_25,218.62000000000003,-64.40625,-90.0
Sst_25,219.57999999999998,-64.41875,-90.0
Sst_25,220.54000000000008,-64.43126,-90.0
Sst_25,221.50000000000003,-64.37501,-90.0
Sst_25,222.45999999999998,-64.481255,-90.0
Sst_25,223.42000000000007,-64.50001,-90.0
Sst_25,224.38000000000002,-64.5125,-90.0
Sst_25,225.33999999999997,-64.481255,-90.0
Sst_25,226.30000000000007,-64.412506,-90.0
Sst_25,227.26000000000002,-64.456245,-90.0
Sst_25,228.21999999999997,-64.475,-90.0
Sst_25,229.18000000000006,-64.475,-90.0
Sst_25,230.14000000000001,-64.4625,-90.0
Sst_25,231.09999999999997,-64.50001,-90.0
Sst_25,232.06000000000003,-64.456245,-90.0
Sst_25,233.02,-64.4625,-90.0
Sst_25,233.98000000000008,-64.46876,-90.0
Sst_25,234.94000000000003,-64.49375,-90.0
Sst_25,235.9,-64.481255,-90.0
Sst_25,236.86000000000007,-64.46876,-90.0
Sst_25,237.82000000000002,-64.49375,-90.0
Sst_25,238.78,-64.506256,-90.0
Sst_25,239.74000000000007,-64.537506,-90.0
Sst_25,240.70000000000002,-64.5625,-90.0
Sst_25,241.66,-64.456245,-90.0
Sst_25,242.62000000000006,-64.46876,-90.0
Sst_25,243.58,-64.56875,-90.0
Sst_25,244.54,-64.481255,-90.0
Sst_25,245.50000000000006,-64.40625,-90.0
Sst_25,246.46,-64.41875,-90.0
Sst_25,247.41999999999996,-64.49375,-90.0
Sst_25,248.38000000000005,-64.506256,-90.0
Sst_25,249.34,-64.43126,-90.0
Sst_25,250.29999999999995,-64.55626,-90.0
Sst_25,251.26000000000005,-64.54375,-90.0
Sst_25,252.22,-64.581245,-90.0
Sst_25,253.18000000000006,-64.6,-90.0
Sst_25,254.14000000000004,-64.69375,-90.0
Sst_25,255.1,-64.668755,-90.0
Sst_25,256.06000000000006,-64.73125,-90.0
Sst_25,257.02000000000004,-64.6625,-90.0
Sst_25,257.97999999999996,-64.69375,-90.0
Sst_25,258.94000000000005,-64.74376,-90.0
Sst_25,259.90000000000003,-64.75,-90.0
Sst_25,260.85999999999996,-64.71875,-90.0
Sst_25,261.82000000000005,-64.69375,-90.0
Sst_25,262.78000000000003,-64.71875,-90.0
Sst_25,263.73999999999995,-64.7,-90.0
Sst_25,264.70000000000005,-64.7,-90.0
Sst_25,265.66,-64.71875,-90.0
Sst_25,266.61999999999995,-64.7,-90.0
Sst_25,267.58000000000004,-64.762505,-90.0
Sst_25,268.54,-64.70625,-90.0
Sst_25,269.50000000000006,-64.71875,-90.0
Sst_25,270.46000000000004,-64.68751,-90.0
Sst_25,271.42,-64.725006,-90.0
Sst_25,272.38000000000005,-64.668755,-90.0
Sst_25,273.34000000000003,-64.74376,-90.0
Sst_25,274.3,-64.68751,-90.0
Sst_25,275.26000000000005,-64.725006,-90.0
Sst_25,276.22,-64.69375,-90.0
Sst_25,277.18,-64.674995,-90.0
Sst_25,278.14000000000004,-64.7,-90.0
Sst_25,279.1,-64.68125,-90.0
Sst_25,280.06,-64.71875,-90.0
Sst_25,281.02000000000004,-64.65001,-90.0
Sst_25,281.98,-64.6625,-90.0
Sst_25,282.93999999999994,-64.6625,-90.0
Sst_25,283.90000000000003,-64.6375,-90.0
Sst_25,284.86,-64.7125,-90.0
Sst_25,285.82000000000005,-64.71875,-90.0
Sst_25,286.78000000000003,-64.75,-90.0
Sst_25,287.74,-64.737495,-90.0
Sst_25,288.70000000000005,-64.8,-90.0
Sst_25,289.66,-64.825,-90.0
Sst_25,290.62,-64.8125,-90.0
Sst_25,291.58000000000004,-64.84375,-90.0
Sst_25,292.54,-64.7875,-90.0
Sst_25,293.5,-64.768745,-90.0
Sst_25,294.46000000000004,-64.74376,-90.0
Sst_25,295.42,-64.73125,-90.0
Sst_25,296.38,-64.7,-90.0
Sst_25,297.34000000000003,-64.75,-90.0
Sst_25,298.3,-64.73125,-90.0
Sst_25,299.26,-64.75,-90.0
Sst_25,300.22,-64.8,-90.0
Sst_25,301.18,-64.737495,-90.0
Sst_25,302.1400000000001,-64.83125,-90.0
Sst_25,303.1,-64.73125,-90.0
Sst_25,304.06,-64.768745,-90.0
Sst_25,305.0200000000001,-64.8,-90.0
Sst_25,305.98,-64.825,-90.0
Sst_25,306.94,-64.768745,-90.0
Sst_25,307.9000000000001,-64.75625,-90.0
Sst_25,308.86,-64.71875,-90.0
Sst_25,309.82,-64.631256,-90.0
Sst_25,310.78000000000003,-64.68751,-90.0
Sst_25,311.74,-64.60625,-90.0
Sst_25,312.7,-64.61875,-90.0
Sst_25,313.66,-64.668755,-90.0
Sst_25,314.62,-64.6375,-90.0
Sst_25,315.58,-64.65625,-90.0
Sst_25,316.54,-64.60625,-90.0
Sst_25,317.5,-64.5875,-90.0
Sst_25,318.4600000000001,-64.674995,-90.0
Sst_25,319.42,-64.65625,-90.0
Sst_25,320.38,-64.70625,-90.0
Sst_25,321.3400000000001,-64.71875,-90.0
Sst_25,322.3,-64.68751,-90.0
Sst_25,323.26,-64.75625,-90.0
Sst_25,324.2200000000001,-64.7,-90.0
Sst_25,325.18,-64.631256,-90.0
Sst_25,326.14,-64.69375,-90.0
Sst_25,327.1000000000001,-64.65625,-90.0
Sst_25,328.06,-64.70625,-90.0
Sst_25,329.02,-64.7,-90.0
Sst_25,329.9800000000001,-64.65625,-90.0
Sst_25,330.94,-64.69375,-90.0
Sst_25,331.9,-64.75,-90.0
Sst_25,332.86000000000007,-64.725006,-90.0
Sst_25,333.82,-64.737495,-90.0
Sst_25,334.7800000000001,-64.775,-90.0
Sst_25,335.74000000000007,-64.71875,-90.0
Sst_25,336.7,-64.725006,-90.0
Sst_25,337.6600000000001,-64.75,-90.0
Sst_25,338.62,-64.68751,-90.0
Sst_25,339.58,-64.6625,-90.0
Sst_25,340.5400000000001,-64.68751,-90.0
Sst_25,341.5,-64.70625,-90.0
