symbol,specificity,P,neg_log10_p,p_fdr,is_driver,is_hcn1
ZNF169,0.0020348656704116,0.74926,0.12536745203151703,0.804050769540693,False,False
NUTM2F,0.0055528917286424,0.5579,0.25344363858963087,0.6654078587954324,False,False
HIATL1,0.0015200872693781,0.53225,0.27388432988963984,0.6460494645298496,False,False
FBP2,0.000170345269745,0.96123,0.01717268332055121,0.9651556063081177,False,False
FBP1,0.0018474898455929,0.93675,0.028376298234164453,0.9447902650678448,False,False
C9orf3,0.0022976664684799,0.38616,0.4132327141893644,0.5306571435941531,False,False
PTCH1,0.0013718942019839,0.23903,0.6215475885212505,0.3964402490660025,False,False
ERCC6L2,0.0021941865200779,0.27973,0.5532609546660661,0.43648642459736453,False,False
HSD17B3,0.0,0.10251,0.9892337664815748,0.23293222095833926,False,False
SLC35D2,1.2486302157733655e-05,0.065734,1.1822099395274557,0.17523652994161804,False,False
ZNF367,0.0012882174512618,0.20756,0.6828563379771104,0.36394737327188936,False,False
HABP4,0.0020748642800249,0.050206,1.2992443782497873,0.14650173982106993,False,False
CDC14B,0.0023385529700763,0.079232,1.1010993813320136,0.1982474701737905,False,False
AAED1,0.00074882880242,0.61766,0.2092505229002323,0.7103586701208982,False,False
ZNF510,0.0017247414399156,0.60183,0.220526167360775,0.698510128540305,False,False
ZNF782,0.00174251878672,0.62485,0.2042242258412642,0.7152587816059022,False,False
CTSV,0.0002124671117344,0.093551,1.0289515658105697,0.21995564675592172,False,False
CCDC180,0.0092355156696782,0.12378,0.9073495216432048,0.2617610400952759,False,False
TDRD7,0.0014886802754594,0.25658,0.5907771992009768,0.41287065539112056,False,False
TMOD1,0.0005022938828893,0.37491,0.4260729754576206,0.5203158237082067,False,False
TSTD2,0.0018947233555016,0.085403,1.0685268733325186,0.20783087300137051,False,False
NCBP1,0.0016052396383168,0.10998,0.9586862846541397,0.2434557049861496,False,False
XPA,0.001942069395378,0.066566,1.1767475393397626,0.17664802523659306,False,False
FOXE1,0.0,0.33747,0.4717648285027362,0.4877992103835021,False,False
C9orf156,0.001655767358613,0.028235,1.549212207927102,0.09910466395782999,False,False
HEMGN,0.0009690866318063,0.006919,2.159956669396506,0.037854344060253335,False,False
ANP32B,0.0015344970330809,0.00010199,3.991442408215753,0.0015352584383819378,False,False
NANS,0.0018463120952184,0.005346,2.2719710455794817,0.031513989671707855,False,False
TRIM14,0.0036515755944068,0.0055805,2.253326887529677,0.03256566186131387,True,False
CORO2A,0.0022206120850702,0.17245,0.7633368012965905,0.32453172986340084,False,False
TBC1D2,0.0009613644031241,0.0029153,2.5353167473747247,0.020273894386422978,False,False
