gene,estimate,se,zval,pval,k,coef,padj
ACD,0.05397730503018244,0.11954488624862425,0.45152332921981114,0.6516124148779743,5,dxSCZ:stratumdepleted,0.9838273170540576
ACER2,-0.03477046160016587,0.07446125615737063,-0.46696044889009136,0.6405281753927211,7,dxSCZ:stratumdepleted,0.9838273170540576
ACER3,0.022010636278410812,0.054379385255936566,0.40476066757315765,0.6856534430401887,7,dxSCZ:stratumdepleted,0.9890761100401975
ACHE,-0.11579200479917916,0.10522665761188245,-1.1004056141958427,0.2711554334463807,5,dxSCZ:stratumdepleted,0.9699413382239173
ACIN1,0.027513244781758477,0.05694100757102963,0.4831885833322807,0.6289618408626669,7,dxSCZ:stratumdepleted,0.9838273170540576
ACLY,-0.1226880442828063,0.08590588542068862,-1.4281680897879374,0.15324348295207213,6,dxSCZ:stratumdepleted,0.9349459900060129
ACO1,0.0686933610968452,0.052389758489448345,1.311198277630551,0.18979078412437883,7,dxSCZ:stratumdepleted,0.9595693777439297
ACO2,0.06761572698581991,0.04203174634767554,1.6086823142326854,0.10768582492685339,6,dxSCZ:stratumdepleted,0.8981717662930241
ACOT11,0.1552021778744756,0.15958912519397825,0.9725109883635844,0.3307964009866683,6,dxSCZ:stratumdepleted,0.9803686945532772
ACOT13,-0.00729410288448967,0.09998907962222339,-0.0729489951507514,0.941846705279356,6,dxSCZ:stratumdepleted,0.9966665263195124
ACOT7,-3.6134020199400256e-4,0.08219829268386972,-0.0043959575095275745,0.9964925446698093,6,dxSCZ:stratumdepleted,0.9992748137383405
ACOT8,-0.13641520944860616,0.07351905434622613,-1.8555082170423565,0.06352368692240912,7,dxSCZ:stratumdepleted,0.8453414637199593
ACOT9,0.04740242036017061,0.07791429513353332,0.6083918269289356,0.5429276308587282,6,dxSCZ:stratumdepleted,0.9838273170540576
ACOX1,0.009834332496330773,0.05613582950978937,0.1751881566943941,0.8609317900118498,7,dxSCZ:stratumdepleted,0.9963126055122565
ACOX3,0.04636631521019393,0.055908911766623555,0.8293188642937179,0.40692399911684923,7,dxSCZ:stratumdepleted,0.9838273170540576
ACP1,-0.10647929053055011,0.07002090815646525,-1.5206785135179448,0.1283405332485564,7,dxSCZ:stratumdepleted,0.9187486104079594
ACP2,0.016239449432373394,0.10560492187244287,0.15377549781238942,0.8777867539311224,5,dxSCZ:stratumdepleted,0.9963126055122565
ACP6,0.11298369736860454,0.07026545487683385,1.607955112034074,0.10784501019097262,6,dxSCZ:stratumdepleted,0.8981717662930241
ACSF3,-0.0012650847877281619,0.06877426193096099,-0.018394741756707134,0.9853239472045304,6,dxSCZ:stratumdepleted,0.9989356309301531
ACSL1,0.012706564964410569,0.06030871788091889,0.21069200956153647,0.8331276100995055,6,dxSCZ:stratumdepleted,0.9963126055122565
ACSL3,-0.006834331092183976,0.03522940723798974,-0.1939950634427409,0.8461797472804882,7,dxSCZ:stratumdepleted,0.9963126055122565
ACSL4,0.05886822486605592,0.03827615011078056,1.5379870936778346,0.1240517704940877,7,dxSCZ:stratumdepleted,0.9097570061778786
ACSS2,-0.08894409454636681,0.07215591013963907,-1.2326654098637044,0.2177006221253934,7,dxSCZ:stratumdepleted,0.9676750491441714
ACSS3,0.01810378612769599,0.1125880295012849,0.16079672242144874,0.8722535067746218,5,dxSCZ:stratumdepleted,0.9963126055122565
ACTB,0.03154373291678305,0.06802355021438486,0.46371782739020484,0.6428499229392304,7,dxSCZ:stratumdepleted,0.9838273170540576
ACTG1,-0.12156893409274842,0.06670293887966265,-1.822542396701116,0.06837272686738391,7,dxSCZ:stratumdepleted,0.848363694906957
ACTL6B,-0.059078427112358785,0.06002796570170067,-0.9841817296614637,0.3250261673514516,7,dxSCZ:stratumdepleted,0.9803686945532772
ACTN1,-0.1216934732172053,0.09483422948121545,-1.2832230923678256,0.19941392788521226,7,dxSCZ:stratumdepleted,0.9610705218411784
ACTN2,0.09562229124590833,0.10507172410348364,0.9100668335063323,0.36278726446255044,6,dxSCZ:stratumdepleted,0.9838273170540576
ACTN4,0.06687637673353294,0.08157654591688486,0.8197990731511317,0.412330659522068,7,dxSCZ:stratumdepleted,0.9838273170540576
ACTR10,-0.009903100563366057,0.04223000526585555,-0.23450389127403362,0.8145938126057792,7,dxSCZ:stratumdepleted,0.9963126055122565
ACTR1A,-0.06354027896922936,0.05783161008171375,-1.09871191342329,0.2718937444536073,7,dxSCZ:stratumdepleted,0.9699413382239173
ACTR1B,-0.05910374712171522,0.06931145022311998,-0.852727030403415,0.39381069748748976,7,dxSCZ:stratumdepleted,0.9838273170540576
ACTR2,0.010636404543115603,0.04615526331835875,0.2304483557974819,0.8177433896033397,7,dxSCZ:stratumdepleted,0.9963126055122565
ACTR3,0.10129569254551099,0.046443466225220845,2.1810536718834084,0.029179446907835926,7,dxSCZ:stratumdepleted,0.7830680692669381
ACTR3B,0.07186007806454688,0.06796376145483092,1.0573293256039906,0.2903613139241654,7,dxSCZ:stratumdepleted,0.9761641259375355
ACTR3C,-0.016452725174127575,0.08372255780702968,-0.19651484146063844,0.8442072173368648,7,dxSCZ:stratumdepleted,0.9963126055122565
ACTR5,-0.11695336698054669,0.16774698115088524,-0.6972010236974062,0.48567699839588013,6,dxSCZ:stratumdepleted,0.9838273170540576
ACTR6,-0.016622067447675404,0.05969905848523682,-0.2784309814833333,0.78068153960746,7,dxSCZ:stratumdepleted,0.9942426656299805
ACTR8,-0.14102586886725083,0.14958364776972694,-0.9427893420833661,0.3457886642705614,6,dxSCZ:stratumdepleted,0.9838273170540576
ACVR1,-0.04358960913400031,0.07092151746383112,-0.6146175475761688,0.5388073231494768,7,dxSCZ:stratumdepleted,0.9838273170540576
ACVR1B,-0.033398999711281935,0.04902444640225861,-0.6812723480288644,0.49569917681509346,7,dxSCZ:stratumdepleted,0.9838273170540576
ACVR1C,0.3327393500257274,0.1835219331239286,1.8130767498020814,0.06981998461430576,6,dxSCZ:stratumdepleted,0.854111285948462
ACVR2A,0.09358305952505194,0.052249936322476216,1.7910655229793182,0.07328278097251155,7,dxSCZ:stratumdepleted,0.8649318029194656
ACVR2B,0.058641930727384724,0.08369465742056122,0.7006651623258595,0.4835120020643473,7,dxSCZ:stratumdepleted,0.9838273170540576
ACYP1,0.050538406550376655,0.13571710941352258,0.3723805109670359,0.7096095622563118,7,dxSCZ:stratumdepleted,0.9901358000485027
ACYP2,0.004164119214823165,0.036489029480278455,0.1141197580240873,0.9091428599053382,7,dxSCZ:stratumdepleted,0.9963126055122565
ADAL,-0.12249638892655232,0.07646798013996604,-1.601930490413588,0.10917098117444798,7,dxSCZ:stratumdepleted,0.8981717662930241
ADAM10,0.09587522832984269,0.04217614570807516,2.273209813752283,0.02301353918688075,7,dxSCZ:stratumdepleted,0.7446873501019224
ADAM11,0.023190065664883717,0.0771937885046749,0.3004136228328697,0.7638616737877635,7,dxSCZ:stratumdepleted,0.9938748924543362
