gene,estimate,se,zval,pval,k,ci.lb,ci.ub,tau2,I2,stratum,padj
DONSON,0.025560606172265632,0.0843285825217671,0.3031072669301404,0.7618081162993089,6,-0.13972037843771176,0.19084159078224303,0.014027856386613725,35.17225877559025,depleted,0.9486629841742642
DOP1A,0.03200085130375736,0.0225125002660477,1.421470335394934,0.1551800715751698,5,-0.012122838419644504,0.07612454102715924,0,0,depleted,0.6748571084516097
DOP1B,-0.06447335084083097,0.04388302541334901,-1.4692093408222142,0.14177601751930805,5,-0.15048250018365095,0.021535798501988987,9.276519045576184e-7,0.008344099955837582,depleted,0.6618887588862786
DOT1L,-0.10802003890779323,0.062090806023088814,-1.739710688690776,0.08190983153792002,6,-0.22971578248410995,0.013675704668523497,1.605389316377241e-6,0.00579732766072587,depleted,0.5947942428684511
DPCD,-0.03575539451685556,0.08064305646193838,-0.44337846413015436,0.6574920103514783,7,-0.19381288078548484,0.12230209175177373,0.007042915123145734,15.410360713992759,depleted,0.9262657336514764
DPF1,-0.03849491075848896,0.05467230669194922,-0.7041025537003277,0.4813689099095794,7,-0.1456506628264376,0.06866084130945968,0.0014006944674923934,6.0728342815157745,depleted,0.8639870033884955
DPF2,0.00790526346415319,0.04625563954795559,0.17090377608891125,0.8642994274591886,7,-0.08275412413170635,0.09856465106001272,0,0,depleted,0.9739536757007219
DPF3,0.11921895559039475,0.1076169863616941,1.1078079736381683,0.2679447557531892,5,-0.09170646180326386,0.33014437298405336,0,0,depleted,0.7563522210668026
DPH1,-0.0764413250820518,0.07337348246061827,-1.0418113263614022,0.29749916187700765,7,-0.2202507081251449,0.06736805796104132,1.0654203773612423e-6,0.002442146505819863,depleted,0.771857788126121
DPH3,0.03910837226674872,0.080262646444484,0.487254956062272,0.6260776643587015,6,-0.11820352406831171,0.19642026860180917,0,0,depleted,0.9157024780131812
DPH5,0.05413489033805307,0.05973778012916729,0.9062086040191075,0.3648254498105666,7,-0.0629490072314873,0.17121878790759346,0.0011780738256119245,4.242321381917903,depleted,0.8159988421970706
DPH6,0.026894285985682453,0.062471654280621354,0.43050382281976857,0.6668291864794688,7,-0.09554790645897289,0.1493364784303378,0.0068049339597376505,26.783792856216177,depleted,0.9291206895003079
DPH6-DT,0.20651310577422094,0.15678045364149495,1.3172120693466554,0.18776754940903717,5,-0.10077093684296068,0.5137971483914026,0.0756017077191589,69.91384300572099,depleted,0.7012901923756838
DPH7,-0.05835300850252284,0.04771535111733572,-1.2229399372757062,0.22135238280143749,7,-0.15187337820218388,0.03516736119713819,5.3661707766315065e-6,0.028639274939894425,depleted,0.7259045753674344
DPM1,0.021735671871180546,0.03813492478914068,0.5699676082059564,0.5686996679852794,7,-0.05300740726867889,0.09647875101103998,3.544823219726849e-5,0.2882587720377087,depleted,0.8995675651766646
DPM2,-0.15158469589069593,0.10873509579547394,-1.394073319030502,0.16329546522466123,5,-0.36470156750533744,0.06153217572394562,0.014673851264098696,24.99108632431769,depleted,0.6853498368072197
DPM3,0.009465749678042572,0.10499474646801597,0.09015450769173557,0.9281644346535481,5,-0.19632017196518275,0.21525167132126788,0,0,depleted,0.9875584228084068
DPP10,-0.012315578186569623,0.05125392236293812,-0.24028557462121297,0.8101088772578624,7,-0.11277142008434039,0.08814026371120114,4.7545400520194275e-6,0.022971858683696115,depleted,0.9632672411629459
DPP10-AS1,0.07704570023068454,0.20123856813042337,0.38285752550550334,0.7018254059087234,6,-0.31737464560535517,0.4714660460667242,0.18457896253999165,83.08110486713043,depleted,0.9361324346617259
DPP6,-0.058743450570881955,0.05125956841977373,-1.1459997105286057,0.251795271833839,7,-0.15921035853670518,0.041723457394941266,0.005436309803634397,31.162556578775973,depleted,0.748520811661671
DPP7,-0.054089017333352446,0.058023770464893966,-0.9321872208576628,0.35123977852360316,7,-0.1678135176917635,0.059635483025058625,0.004621060010954712,20.349385318855152,depleted,0.8076237759566317
DPP8,-0.008871006793547822,0.026965674524290894,-0.3289740364386861,0.7421753126848321,7,-0.06172275767998722,0.043980744092891585,1.7838315750748845e-5,0.3021233016637228,depleted,0.9420425513572889
