stratum,gene,k,estimate,se,z,padj
depleted,ADGRB3,7,0.02905395412151588,0.0499366919663952,0.5818157546572706,0.8957987075065861
depleted,ADGRD1,5,0.17883519383990373,0.12011290233770928,1.4888924533443622,0.6570621740783388
depleted,ADGRF3,6,0.13517408524838606,0.12099368958237652,1.117199464822957,0.7543072083436637
depleted,ADGRG1,5,0.04753291132047928,0.09538998921264766,0.49830083547359233,0.913163248208214
depleted,ADGRG6,7,-0.03535431640423638,0.06364514568124115,-0.5554911694491848,0.9006912687578856
depleted,ADGRL1,7,0.00622097851137038,0.05042012474468119,0.12338284648981623,0.9810776668307312
depleted,ADGRL2,7,0.04520033029497077,0.05459514644094397,0.827918473373166,0.8344270749904578
depleted,ADGRL3,7,0.08220310340160561,0.03183292145327751,2.5823298537728774,0.3573749678814738
depleted,ADGRV1,5,0.09515598335989252,0.1225601106798756,0.7764025573413353,0.8461193003559704
depleted,ADH5,7,-0.00455633805933286,0.05251871775504758,-0.0867564604410958,0.9880165973952106
depleted,ADI1,7,-0.04304052792523748,0.05929536513423048,-0.7258666478873022,0.8587417907153748
depleted,ADIPOR1,7,-0.03020640383309514,0.05666174491639941,-0.533100487421675,0.9073887974970332
depleted,ADIPOR2,7,-0.05254098626068402,0.04896715228230762,-1.0729843131937176,0.7628859157353417
depleted,ADK,7,-0.02293421305250868,0.05916234172178968,-0.3876488385188773,0.9347656576730234
depleted,ADNP,7,0.00602217901122743,0.02942751214938198,0.20464451703077136,0.9705825923054456
depleted,ADNP-AS1,6,0.18240182033551564,0.09016861725635014,2.022896944476211,0.5048381137744832
depleted,ADNP2,7,-0.04879517113709349,0.03740127176401015,-1.3046393567837784,0.703332161657596
depleted,ADO,5,0.1101914590558877,0.15080561294245648,0.7306853962918072,0.8584502405514588
depleted,ADORA1,6,0.06444204854546996,0.08990290388215814,0.7167960740171256,0.8603245170685166
depleted,ADORA2A-AS1,7,-0.19036229732922064,0.0909084447239597,-2.09400015485084,0.4864333906153938
depleted,ADORA2B,5,0.01779841854784842,0.1384379985269405,0.1285659915430285,0.981036709755176
depleted,ADPGK,7,-0.03631932938404974,0.04996936556482269,-0.7268319093812496,0.8587417907153748
depleted,ADPRHL1,6,0.08163061322473776,0.08878494710003705,0.919419517508545,0.8126336342309376
depleted,ADPRM,6,-0.08968852490046748,0.12878713852146542,-0.6964090197991221,0.8662634103311614
depleted,ADRA1A,7,-0.00626961118917894,0.06722008171790804,-0.09326991323053782,0.9868774928369476
depleted,ADRA1B,6,-0.02051158444299027,0.1092171245732117,-0.18780557099578932,0.9736570399148614
depleted,ADRA2A,6,-0.04264093153017226,0.12107760174423796,-0.3521785277862223,0.9389036554055604
depleted,ADRM1,5,-0.09863618886766284,0.16061212245275666,-0.614126675878256,0.8862120650343963
depleted,AEBP2,7,-0.02787833697953132,0.04178748282244333,-0.6671456401905682,0.8721520483677265
depleted,AFAP1,7,-0.0302793447941971,0.04059520234745539,-0.7458848101072488,0.8555176591474061
depleted,AFAP1L2,7,-0.07213589897769289,0.04770891110966622,-1.512000531973524,0.6538196257574562
depleted,AFDN,7,-0.00777273518745403,0.02770923208920064,-0.2805106674350377,0.9518540689904428
depleted,AFF1,7,0.01619189166870406,0.0487382501881238,0.3322214401667131,0.9420425513572888
depleted,AFF2,7,0.0335652100234069,0.06882638974393343,0.48767936467807305,0.9156500069427198
depleted,AFF3,7,0.03547743494633596,0.048924124546907,0.725152167256897,0.8587417907153748
depleted,AFF4,7,-0.00498358162389747,0.02421573446010447,-0.20579931746889385,0.9705825923054456
depleted,AFG3L2,6,-0.0568902866812521,0.05809011456338811,-0.9793454034106482,0.7945238320606212
depleted,AFMID,6,0.09404341998703854,0.09167060315041704,1.0258841630258295,0.7795252738621563
depleted,AFTPH,7,0.04975020083382491,0.03380126411117058,1.471844386357833,0.6605792206475941
depleted,AGAP1,7,-0.02315506932987962,0.02956638377523672,-0.7831552720787287,0.8443416088552093
depleted,AGAP2,7,-0.0938322421083286,0.05562578436611503,-1.6868479820571731,0.6084803192368611
depleted,AGAP3,7,0.00185346044660852,0.03544971613389153,0.05228421123622298,0.9916117141037476
depleted,AGAP4,7,-0.00166238680896015,0.05671257503301917,-0.02931249036024687,0.9947952571191736
depleted,AGAP9,7,-0.2229988911934015,0.09041635672127704,-2.4663556382926535,0.3847863317796322
depleted,AGBL1,7,0.3070206558446324,0.11096970293840874,2.7667070174553623,0.3024087530600489
depleted,AGBL3,7,0.06285771866115752,0.05974012879644538,1.0521858577730026,0.7698739241301455
depleted,AGBL4,7,0.07155266238367432,0.05174303119136388,1.3828463608760662,0.6896177943651439
depleted,AGBL5,6,0.03252294813691449,0.10357348666866728,0.3140084319161308,0.945157542412675
depleted,AGFG1,7,-0.00337449742129569,0.03409375191381766,-0.09897700405123395,0.9851353852793696
depleted,AGFG2,6,0.1048087765021118,0.09769940557066469,1.0727678012974706,0.7628859157353417
depleted,AGK,6,0.02930752601581868,0.035447285848773,0.8267918209831896,0.8344270749904578
depleted,AGL,7,0.01591910997946893,0.03863920603838836,0.41199371342292,0.9322207195734394
depleted,AGO1,7,-0.05084639715904084,0.03536544187692045,-1.437742453098636,0.6686244470618574
depleted,AGO2,7,-0.08471785622717734,0.04455286046001602,-1.9015132889886477,0.5346569168589208
depleted,AGO3,7,-0.02472581997979658,0.02827966466346823,-0.8743321490561194,0.8245239455245353
depleted,AGO4,7,-0.03242591795346251,0.03827920350328746,-0.8470896723511433,0.8319202704098809
depleted,AGPAT1,7,-0.03415686337352987,0.0581887199885527,-0.587001456300284,0.8946011429749796
depleted,AGPAT3,7,-0.06985648522009351,0.03303467644331065,-2.114641120822574,0.4826649254971492
depleted,AGPAT4,6,-0.046555740259644277,0.03240017484146793,-1.436897809577839,0.6690136785725347
depleted,AGPAT5,6,-0.01065288414124148,0.04892131384362115,-0.2177554792435428,0.9686313790100952
depleted,AGPS,7,0.00197439674952503,0.04317545502484399,0.0457296106871122,0.9922315081994684
depleted,AGTPBP1,7,0.05085972133048094,0.0286540682189043,1.7749563846199905,0.5822360666290277
depleted,AHCTF1,7,0.04677579902275149,0.03301731563400344,1.416705087150654,0.676421807488585
depleted,AHCY,6,0.08676559373400575,0.12017107075463976,0.7220173140602207,0.8594704379821374
depleted,AHCYL1,6,0.05297381473329184,0.05928307945639235,0.8935739374378906,0.8184975296460637
depleted,AHCYL2,7,0.02972844656441174,0.04785930210932323,0.6211633946626334,0.8844761612236502
depleted,AHDC1,7,0.05443601767838017,0.06438832561953185,0.8454330370390513,0.8319202704098809
depleted,AHI1,7,-0.11327737637226186,0.02981660707579153,-3.799137040788022,0.08523162456386182
depleted,AHNAK2,6,0.05337576031976893,0.07827040017952357,0.681940557315978,0.8669876304012764
depleted,AHR,7,0.01774257985294068,0.12339125094962108,0.1437912308724768,0.9751445610684668
depleted,AHSA1,7,0.03340880012467025,0.07382319813428542,0.4525515145510112,0.924072177063672
depleted,AIDA,7,-0.03572035771884974,0.09431474139456178,-0.3787356800292238,0.9363939912798276
depleted,AIFM1,5,-0.13508847569560187,0.06311111654562858,-2.140486226351811,0.47663285738249817
depleted,AIFM2,6,0.0303846640154278,0.0635681038299218,0.47798600531994473,0.9172995461476128
depleted,AIG1,7,0.02725825073317393,0.0402015288889854,0.6780401513695234,0.868709528649831
depleted,AIMP1,7,-0.04695199885818747,0.04224362492013068,-1.111457621048355,0.7554058141797342
depleted,AIMP2,7,-0.11802166536749784,0.07582207316910275,-1.5565607801870458,0.6394402122327938
depleted,AIP,5,-0.04712909487802973,0.11883328129808474,-0.3965984475326385,0.9342584028351042
depleted,AJ003147.2,5,-0.02529253668296934,0.09526498081848024,-0.26549668583004526,0.9568253099724436
depleted,AJAP1,7,-0.03246542590780996,0.04109036232576785,-0.790098311872291,0.8427601096433577
depleted,AK1,6,-0.17383269948694646,0.09541409938924196,-1.8218764375461505,0.569252028013079
depleted,AK2,6,-0.04948558509580633,0.0449418479109355,-1.1011025891475463,0.7570528913275897
depleted,AK3,6,-0.00827969358720508,0.03769861588722281,-0.21962858296904536,0.9678320676887284
depleted,AK4,5,0.17323116797330113,0.08942280843957616,1.9372145764171016,0.5332889405233946
depleted,AK5,7,0.0471714866691362,0.03773107475890341,1.2502025709724882,0.716495797067787
depleted,AK6,7,-0.11538264763106532,0.06115761972608657,-1.8866438580808476,0.5462009645289622
depleted,AK8,7,0.04110270284142461,0.09636507389921133,0.426531119401352,0.929252494658116
depleted,AK9,7,0.07795739346684534,0.05436888959624756,1.4338603205945522,0.6708019817288294
