pathway,pval,padj,log2err,ES,NES,size,leadingEdge,coef
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT_ENDOSOME_TO_POSTSYNAPTIC_MEMBRANE,0.03453297274807572,0.6101828520311233,0.11121188275410136,-0.6006734617997473,-1.5912750344843467,11,NSG1|ARHGAP44|SCRIB|RAB11A|RAB8A|GRIP1|GRIPAP1,dxSCZ:stratumdepleted
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT_TO_PLASMA_MEMBRANE,0.031203879401222854,0.6053596024196342,0.11791011662349678,-0.5322695789108922,-1.578155266338902,16,NSG1|ARHGAP44|SCRIB|RAB11A|RAB8A|GRIP1|SLC1A1|GRIPAP1|STX3,dxSCZ:stratumdepleted
GOBP_NEUROTRANSMITTER_REUPTAKE,0.6148963182395261,0.959655031431386,0.02254392022363338,-0.305572462962437,-0.8865363759557575,15,ITGB1|SLC18B1,dxSCZ:stratumdepleted
GOBP_NEUROTRANSMITTER_SECRETION,0.003270786710277156,0.21393924212060483,0.3350685587170139,0.34842555505792094,1.5679066562608353,119,CSPG5|GPR158|NRXN2|NRXN1|PCLO|NF1|MCTP1|HRH3|DYSF|DTNBP1|SYT1|SYNGR3|PREPL|MEF2C|DOC2B|NLGN1|BAIAP3|ATP2A2|RIMS1|KCNMB4|SYT13|SYNJ1|GRIK5|SNAP29|CACNA1B|FMR1|EFR3A|ERC2,dxSCZ:stratumdepleted
GOBP_NEUROTRANSMITTER_TRANSPORT,0.023712737127371274,0.5729364939254361,0.12129310519101276,0.29305444503260425,1.3683929689599466,154,CSPG5|GPR158|NRXN2|NRXN1|PCLO|NF1|MCTP1|SLC17A8|HRH3|DYSF|DTNBP1|SYT1|SYNGR3|SLC17A5|PREPL|MEF2C|DOC2B|NLGN1|BAIAP3|ATP2A2|RIMS1|KCNMB4|SLC6A7|SYT13|SYNJ1|GRIK5|SNAP29|CACNA1B|FMR1|EFR3A|ERC2|SLC17A7|GPM6B|LIN7C|ATP1A2,dxSCZ:stratumdepleted
GOBP_NEUROTRANSMITTER_UPTAKE,0.8948378839590444,0.999644282896583,0.016973136215528647,-0.211441344174439,-0.7040148480374706,24,ITGB1|SLC18B1,dxSCZ:stratumdepleted
GOBP_NEUROTROPHIN_SIGNALING_PATHWAY,0.4194024345260052,0.8968762095858798,0.02659632640631492,0.30270801314440743,1.023776172303118,29,SOS1|MAGI2|ZDHHC17|CYFIP1|SHOC2,dxSCZ:stratumdepleted
GOBP_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY,0.7205190897122438,0.983547215527125,0.018309586173802083,0.26574894522508147,0.8259241345717984,21,SOS1|ZDHHC17|CYFIP1,dxSCZ:stratumdepleted
GOBP_NEUTRAL_AMINO_ACID_TRANSPORT,0.4196150320806599,0.8968762095858798,0.026483277395066104,0.28733849675893897,1.0219472264478366,36,SLC36A4|SLC7A8|SERINC3|SLC7A6|SLC6A7|CTNS|SERINC5|MFSD12,dxSCZ:stratumdepleted
GOBP_NEUTRAL_LIPID_BIOSYNTHETIC_PROCESS,0.6849344978165939,0.9764955064478325,0.021341732433637923,-0.24734202857012333,-0.863805952379689,29,DAGLB|GPAT3|KAT5|LDLR|DAGLA|PLA2G15|NR1H2|LPIN1,dxSCZ:stratumdepleted
GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS,0.28048525413093495,0.8453220718164416,0.03666816754854119,-0.3686950181597144,-1.13767553639549,18,DAGLB|SORL1|LIPE|DDHD2|MGLL|FAAH|DAGLA,dxSCZ:stratumdepleted
GOBP_NEUTRAL_LIPID_METABOLIC_PROCESS,0.5005703855806525,0.9265321257579219,0.02721679282255987,-0.228292245635425,-0.9790393076852283,71,DAGLB|SORL1|TNXB|DGKQ|SLC22A4|LIPE|GPAT3|DDHD2|MGLL|FAAH|DGKE|KAT5|LDLR|DAGLA|PLA2G15|SEL1L|PTPN11|NR1H2|MBOAT7,dxSCZ:stratumdepleted
GOBP_NEUTROPHIL_CHEMOTAXIS,0.6798229435632608,0.974692797942822,0.018884354720001682,0.25391926152660677,0.8587697660838965,29,ITGA1|GBF1|CAMK1D|CXADR|MOSPD2|JAM3,dxSCZ:stratumdepleted
GOBP_NEUTROPHIL_HOMEOSTASIS,0.6426037972042562,0.9656882316704214,0.02162758360823578,-0.3363642077785529,-0.8618201491849653,10,MTHFD1|PDE4B|TSPAN9|HMGB1,dxSCZ:stratumdepleted
GOBP_NEUTROPHIL_MIGRATION,0.5920398009950248,0.9540884888953994,0.02097070485781765,0.2625120784631711,0.9212438268355256,34,ITGA1|GBF1|CAMK1D|WDR1|CXADR|MOSPD2|JAM3,dxSCZ:stratumdepleted
GOBP_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION,0.3475258918296893,0.871189542975362,0.0306732603982164,0.4113178875425803,1.0916121762177335,12,KCNC2|GUCY1A1|GUCY1B1|DDAH1|NOS1|NOS2|CD36|ATP2B4,dxSCZ:stratumdepleted
