pathway,pval,padj,log2err,ES,NES,size,leadingEdge,signature,source
GOBP_ADP_TRANSPORT,0.07528277396625255,0.49022884210125495,0.07017632599053192,-0.5704227005939809,-1.4504203678919134,10,SLC35B1|SLC25A25|SLC25A6|SLC25A4,depleted,C5:GO:BP
GOBP_ADRENAL_GLAND_DEVELOPMENT,0.01840225156960381,0.2887398958461188,0.15627914647543964,0.6036982978030276,1.6801936362382008,12,PDGFRA|DKK3|PBX1,depleted,C5:GO:BP
GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,0.420169946332737,0.8172100993910746,0.029997811271215737,0.32232603854914976,1.017551955086488,19,ATP2B4|ZDHHC21,depleted,C5:GO:BP
GOBP_ADULT_BEHAVIOR,0.3583305620219488,0.7837530508000321,0.0275305304690147,-0.23833995488452459,-1.0500665107361247,98,SDK1|SHANK1|PARK7|CRHBP|CNTN2|DRD3|PAFAH1B1|NPY|CEND1|NLGN2|NLGN3|FKRP|SPTBN2|NPC1|SHANK2|LGI4|EHMT2|TUBA1A|SLC1A2|OXR1|ARCN1|ZMPSTE24|CHRNA4|GLRB|ALK|NCSTN,depleted,C5:GO:BP
GOBP_ADULT_LOCOMOTORY_BEHAVIOR,0.6124377254767223,0.8929957543618028,0.01938529382048199,-0.23061277141261444,-0.9122062468571285,55,PARK7|CNTN2|PAFAH1B1|CEND1|NLGN2|FKRP|NPC1|LGI4|TUBA1A|OXR1|ARCN1|ZMPSTE24|GLRB,depleted,C5:GO:BP
GOBP_AEROBIC_RESPIRATION,1.1573295335175052e-6,2.3128507396388893e-4,0.6435518361507222,-0.44127587973753296,-2.028488902313863,131,NDUFS8|PARK7|NDUFB1|CYCS|IDH2|UQCRH|COX5B|ISCU|NDUFB2|PDHB|NDUFS6|NDUFAB1|NDUFS5|NDUFS2|COX7A2|NDUFA1|UQCRC1|NDUFC1|DNAJC30|MTCH2|CS|NDUFV1|MFN2|SIRT3|NDUFA6|OGDHL|NDUFA10|CYC1|UQCRC2|NDUFA2|IDH3A|PINK1|GHITM|STOML2|UQCC2|COX7B|UQCRFS1|OXA1L|ACO2|PANK2|MDH1|MLXIPL|NDUFA4|UQCR10|NDUFB7|SUCLA2|ACO1|IDH3G|NDUFB11|UQCRB|DNAJC15|COQ9|NDUFA12|COX6B1|NDUFB3|COL6A1|CHCHD10|MDH2|MTFR1L|NDUFB10,depleted,C5:GO:BP
GOBP_AGGREPHAGY,0.026213771460217833,0.3407257489595387,0.12042065316743104,-0.5664928733714026,-1.593959830495389,14,HTT|KAT5|SQSTM1|HDAC6|WDR81,depleted,C5:GO:BP
GOBP_ALANINE_TRANSPORT,0.5546655120155878,0.8726065336675706,0.024585201803094543,0.33473547068164844,0.9316249684805454,12,SLC38A1|SLC7A8|SLC36A4,depleted,C5:GO:BP
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,0.06382269621729712,0.4653889878102795,0.0723419514602353,-0.3046372991851124,-1.3217329712447727,90,PARK7|GOT1|DHRSX|SPTLC2|MVD|DHDDS|LBR|DGKQ|TM7SF2|SREBF2|PTS|FGF1|MBTPS2|ABCA2|ADCYAP1R1|SPTSSB|SRD5A3|ABCG1|MSMO1|IDI1|BMP6|ASAH1|SREBF1|HMGCR|ITPKB|LIPA|MBTPS1|IPPK|FDPS|CFTR|ACLY|ISYNA1|DHCR24|CYP2R1|SPHK2|C7orf50,depleted,C5:GO:BP
GOBP_ALCOHOL_CATABOLIC_PROCESS,0.23105809586922907,0.6867813028745616,0.042221575978430986,0.4002951976366024,1.1900094431399793,15,SORD|GK|ALDH2|SNX17|GPD2|APOE,depleted,C5:GO:BP
