pathway,source,k_cells,mean_NES,sd_NES,p_fisher,n_pos_NES,n_neg_NES,n_sig_per_ct,padj_fisher,stouffer_Z,p_stouffer,padj_stouffer
GOBP_VENOUS_BLOOD_VESSEL_DEVELOPMENT,C5:GO:BP,9,-0.10301015179895384,0.980968870274422,0.8716245541420565,4,5,0,0.9844124105268982,-0.1720824883908106,0.8633726796333889,0.9055076331628324
GOBP_VENTRAL_SPINAL_CORD_DEVELOPMENT,C5:GO:BP,18,-0.24561931867212078,1.086936192552147,0.19889170280370755,8,10,0,0.40787753338128746,-1.6845862660018733,0.09206842294517092,0.16089852311951267
GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,C5:GO:BP,20,-0.005808060606504156,1.020661682129517,0.7641074035278662,10,10,0,0.9352628786040184,-0.1289856830111566,0.8973689774905516,0.9282414846397592
GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,C5:GO:BP,15,-0.346930369179327,1.0325393878535338,0.42649980973207746,6,9,0,0.6759969205755644,-1.818332359545271,0.06901334976765501,0.1270011932953208
GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,C5:GO:BP,18,-0.7522000524153952,0.7690535218051848,0.409157057179296,3,15,0,0.6601092536278875,-3.0216469234445045,0.002514036017282373,0.00788488421518911
GOBP_VENTRICULAR_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,C5:GO:BP,20,0.1355971310937914,0.9924335192696563,0.7777920920427714,11,9,0,0.9431562729327795,0.6979474235956706,0.4852100749812178,0.5975814936817706
GOBP_VENTRICULAR_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,C5:GO:BP,19,0.4650741033848015,0.960313103660784,0.420741571457199,13,6,0,0.6708149021333254,2.2314601252119255,0.02565066599291723,0.056178415884114964
GOBP_VENTRICULAR_SEPTUM_DEVELOPMENT,C5:GO:BP,23,0.43490100913342483,0.9071309040689577,0.6773801054383162,17,6,0,0.8770012822020284,1.2644915388128373,0.2060536557497438,0.3089793381034348
GOBP_VENTRICULAR_SEPTUM_MORPHOGENESIS,C5:GO:BP,20,0.9060041878197224,0.8208962112723244,0.0012688519273944562,18,2,0,0.007745980950848491,4.069590962637652,4.709574956857043e-5,2.4601247568753243e-4
GOBP_VENTRICULAR_SYSTEM_DEVELOPMENT,C5:GO:BP,20,0.30790235225465284,0.9419142558899251,0.8938015757115723,13,7,0,0.9910041029971218,1.1289022881154556,0.2589390554469608,0.3705298044685103
GOBP_VENTRICULAR_TRABECULA_MYOCARDIUM_MORPHOGENESIS,C5:GO:BP,9,0.18080551064059547,1.145783798555692,0.22343515168280242,5,4,0,0.44197229229119067,0.691875162144353,0.48901572990396014,0.6010965925119176
GOBP_VERY_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS,C5:GO:BP,9,0.5061648869320332,0.9997270154423014,0.29734713982296407,6,3,0,0.5384965868693329,1.96756948215775,0.04911759399286545,0.0962810742616821
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,C5:GO:BP,18,0.21012520259428014,1.0275613927691267,0.6385118541871547,11,7,0,0.8505161428882054,0.6173342201453842,0.5370142999686189,0.6443327900801795
GOBP_VESICLE_BUDDING_FROM_MEMBRANE,C5:GO:BP,23,-0.4579121268480272,0.926170783263853,0.4757635774285642,7,16,0,0.7236444814750642,-2.394144684922334,0.016659175754809286,0.039086367201068666
GOBP_VESICLE_CARGO_LOADING,C5:GO:BP,21,-0.0814528353909733,0.9708475703838156,0.9473757010290607,10,11,0,0.9999994617856818,-0.5389797785392224,0.5899008076035508,0.6886384083870862
GOBP_VESICLE_COATING,C5:GO:BP,21,-1.0117551075662923,0.6879280930950374,5.39468944168263e-4,1,20,0,0.003772824474920352,-4.753192724341653,2.0022931760645707e-6,1.4933118150005007e-5
GOBP_VESICLE_CYTOSKELETAL_TRAFFICKING,C5:GO:BP,23,-0.8022123396679394,0.6761846818430116,0.3817373257048723,3,20,0,0.6303411797639157,-3.6062985927003193,3.105957234933392e-4,0.0012828661656671884
GOBP_VESICLE_DOCKING,C5:GO:BP,23,-0.8582845064998746,0.9395786607463781,8.640052081203804e-7,4,19,2,1.3170474599631426e-5,-5.626848956858819,1.8353129766388072e-8,2.1697035917322866e-7
GOBP_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS,C5:GO:BP,22,-0.9527984321942702,0.6958093961067214,0.004436217746398348,2,20,0,0.021798196699844525,-4.809970183167996,1.509528118905471e-6,1.1560619471404656e-5
GOBP_VESICLE_FUSION_TO_PLASMA_MEMBRANE,C5:GO:BP,19,-0.8173108050265313,0.8505832068863958,0.03183612725048699,3,16,0,0.10293501431497423,-3.674367829625213,2.384390310416503e-4,0.00101502724641309
GOBP_VESICLE_LOCALIZATION,C5:GO:BP,23,-1.0604453562793894,0.4975590184850284,5.917376382214056e-5,1,22,0,5.606824247018455e-4,-6.177565337733135,6.509763848789387e-10,1.055521582021328e-8
GOBP_VESICLE_MEDIATED_TRANSPORT,C5:GO:BP,2,-0.88108305612343,0.06212125049890636,0.8994750541887634,0,2,0,0.9936244251460413,-0.4088711350550697,0.682634232955883,0.7682401469325197
GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS,C5:GO:BP,22,-0.7539116354110137,0.6856026271446666,0.6326139379754023,3,19,0,0.8470665800395676,-3.025391475008638,0.002483114992191135,0.007810357988205807
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE,C5:GO:BP,23,-0.8284082933269701,0.9390929860411055,4.591892208836035e-12,4,19,4,1.8953424247919906e-10,-6.243034508593544,4.2916216969533123e-10,7.299580155820144e-9
GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE,C5:GO:BP,23,-0.05293576390632516,1.1073142916409304,0.07577184379273884,11,12,0,0.20066899294229198,-0.19750273886898512,0.843434138345655,0.8912835913305336
GOBP_VESICLE_ORGANIZATION,C5:GO:BP,23,-0.4956317178263188,0.9490855547330156,0.03825534025721637,6,17,1,0.11890762456017967,-2.231530688512188,0.025645997048759073,0.056178415884114964
GOBP_VESICLE_TARGETING,C5:GO:BP,23,-0.8575933507715066,0.7816258695370649,0.009908072336745002,3,20,0,0.04185174139143893,-4.451991859287255,8.507739222796335e-6,5.446236751424611e-5
